Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Passes_Cmp,Passes_Att,Passes_Prog,Dribbles_Succ,Dribbles_Att,PlayerID,NationID,SquadID,MatchID,Total_Cmp,Total_Att,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Medium_Cmp,Medium_Att,Long_Cmp,Long_Att,xA,KP,1/3,PPA,CrsPA,Prog,Att,PassTypes_Live,PassTypes_Dead,PassTypes_FK,PassTypes_TB,PassTypes_Sw,PassTypes_Crs,PassTypes_TI,PassTypes_CK,CornerKicks_In,CornerKicks_Out,CornerKicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Tackles_Tkl,Tackles_TklW,Tackles_Def3rd,Tackles_Mid3rd,Tackles_Att3rd,VsDribbles_Tkl,VsDribbles_Att,VsDribbles_Past,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Tkl+Int,Clr,Err,Touches_Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Touches_Live,Dribbles_Mis,Dribbles_Dis,Receiving_Rec,Receiving_Prog,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerialDuels_Won,AerialDuels_Lost
Cinta Rodríguez,15,,CB,22-359,90,0,0,0,0,0,0,0,0,52,2,1,0,0.0,0.0,0.0,0,0,31,44,1,0,0,9f7c1cbd,,b56c2667,b39cbf7b,31,44,621,273,7,7,20,23,4,9,0.0,0,1,0,0,1,44,39,4,3,0,0,1,0,0,0,0,0,31,1,2,2,2,2,0,0,0,0,0,0,0,0,3,2,1,52,7,31,19,2,1,52,2,0,29,1,0,2,0,0,1,2,0,0,0,7,2,1
Hanna Lundkvist,27,se SWE,"RB,CM",20-107,63,0,0,0,0,0,0,0,0,26,0,0,1,0.0,0.0,0.0,0,0,20,23,0,0,1,37ed9d8f,SWE,b56c2667,b39cbf7b,20,23,351,141,9,10,7,8,2,2,0.0,0,0,0,0,0,23,19,4,1,0,0,0,3,0,0,0,0,20,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,26,3,10,14,3,0,26,1,1,13,0,0,1,0,0,0,0,0,0,0,3,0,0
Estefanía Banini,22,ar ARG,CM,32-133,27,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.0,0,0,9,13,0,0,0,109f5c4c,ARG,b56c2667,b39cbf7b,9,13,128,39,6,6,3,5,0,1,0.0,0,0,0,0,0,13,10,3,2,0,0,1,1,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,3,6,8,0,17,1,0,6,2,0,0,0,0,1,0,0,0,0,3,0,0
Dolores Gallardo,1,es ESP,GK,29-144,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,27,35,0,0,0,f72a5093,ESP,b56c2667,b39cbf7b,27,35,845,648,2,2,10,10,15,23,0.0,0,0,0,0,0,35,29,6,0,0,1,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40,29,40,0,0,0,40,0,0,22,0,0,0,0,0,0,0,0,0,0,1,1,0
Synne Jensen,20,no NOR,FW,26-259,90,0,0,0,0,2,0,0,0,23,0,0,1,0.1,0.1,0.0,1,0,12,12,0,1,1,0fb6be65,NOR,c21f25d3,b39cbf7b,12,12,143,24,8,8,4,4,0,0,0.0,0,1,0,0,0,12,10,2,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,23,0,3,8,13,0,23,5,3,17,2,0,2,2,0,0,0,0,0,0,2,0,1
Nerea Eizaguirre,10,es ESP,LW,22-301,90,1,0,1,1,2,1,0,0,46,2,0,4,0.9,0.1,0.1,4,0,22,33,1,1,1,7e9faac9,ESP,c21f25d3,b39cbf7b,22,33,366,112,5,6,10,15,2,6,0.1,2,4,1,1,1,33,26,7,2,0,0,6,1,4,2,2,0,22,0,1,2,1,0,1,1,0,0,0,4,0,4,2,0,0,46,0,4,20,22,1,45,3,1,29,1,0,0,2,0,6,1,0,0,0,5,0,0
Amaiur Sarriegi,7,es ESP,RW,21-323,61,0,0,0,0,0,0,0,0,31,3,1,3,0.0,0.0,0.0,2,0,10,16,0,3,4,924c6a21,ESP,c21f25d3,b39cbf7b,10,16,156,39,4,7,3,4,1,2,0.0,1,0,0,0,0,16,16,0,0,0,0,2,0,0,0,0,0,10,0,1,3,3,0,3,0,0,1,1,3,1,2,4,2,0,31,3,7,12,13,6,31,2,2,17,3,0,3,4,0,2,3,0,0,0,4,1,0
Sanni Franssi,9,fi FIN,RW,27-227,29,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0.0,0.0,0,0,1,2,0,0,0,eb7a2b29,FIN,c21f25d3,b39cbf7b,1,2,15,3,0,0,1,2,0,0,0.0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,1,1,1,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Gemma Gili,21,es ESP,LM,28-164,80,0,0,0,0,0,0,0,0,41,2,1,0,0.0,0.0,0.0,1,0,33,35,2,0,0,20c7b4de,ESP,c21f25d3,b39cbf7b,33,35,622,69,9,10,20,20,3,3,0.0,0,2,1,0,2,35,35,0,0,0,0,0,0,0,0,0,0,33,0,0,2,0,2,0,0,0,0,0,0,0,0,3,0,0,41,0,7,25,9,1,41,2,1,30,6,0,0,0,0,0,0,0,0,0,4,0,0
Andreia Jacinto,19,pt POR,LM,20-146,10,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,4,6,0,0,0,7bcd77cf,POR,c21f25d3,b39cbf7b,4,6,33,18,1,2,1,1,0,0,0.0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,2,4,1,0,7,0,0,5,1,0,1,0,0,0,0,0,0,0,1,0,0
Iris Arnaiz Gil,8,es ESP,CM,28-167,79,0,0,0,0,0,0,1,0,55,3,1,1,0.0,0.0,0.0,0,0,40,47,4,0,1,aec17e23,ESP,c21f25d3,b39cbf7b,40,47,629,233,20,24,17,19,2,3,0.0,0,2,0,0,4,47,46,1,1,0,0,0,0,0,0,0,0,40,0,0,3,1,1,2,0,2,2,0,1,0,1,4,1,0,55,3,17,36,4,0,55,0,0,31,3,0,1,1,0,0,1,0,0,0,11,0,1
Michaela Specht,4,de GER,CM,25-259,11,0,0,0,0,0,0,0,0,9,0,0,1,0.0,0.0,0.0,0,0,5,6,1,0,0,06a0b963,GER,c21f25d3,b39cbf7b,5,6,101,52,2,2,2,3,1,1,0.0,0,0,0,0,1,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,9,2,6,3,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
Gabriela García,16,ve VEN,RM,25-213,90,0,0,0,0,6,3,0,0,67,3,1,2,0.3,0.3,0.1,4,1,25,47,7,0,0,4ddfe96c,VEN,c21f25d3,b39cbf7b,25,47,450,218,7,15,15,21,2,4,0.1,1,3,0,0,7,47,47,0,0,0,1,0,0,0,0,0,0,25,0,3,3,2,2,1,0,1,3,2,2,0,2,4,3,0,67,7,16,35,16,4,67,4,0,43,2,0,0,0,0,0,2,0,0,0,4,6,2
Alejandra Bernabe,23,es ESP,LB,20-354,90,0,0,0,0,0,0,1,0,59,1,2,2,0.0,0.0,0.2,6,0,37,49,0,1,1,daeee8a9,ESP,c21f25d3,b39cbf7b,37,49,389,159,23,23,6,11,1,4,0.1,5,1,0,0,0,49,34,15,0,0,0,3,15,0,0,0,0,37,0,4,1,1,1,0,0,0,1,1,2,1,1,3,1,0,59,3,16,20,23,1,59,4,2,26,4,0,2,1,0,3,1,0,0,0,13,0,1
Manuela Vanegas,22,co COL,CB,21-357,90,0,0,0,0,0,0,0,0,76,3,3,1,0.0,0.0,0.0,2,0,50,59,6,0,0,7bc9579b,COL,c21f25d3,b39cbf7b,50,59,1044,473,12,12,31,35,6,11,0.0,0,8,0,0,6,59,56,3,3,0,2,0,0,0,0,0,0,50,0,0,3,2,3,0,0,2,3,1,1,1,0,6,9,0,76,15,37,39,0,0,76,1,0,47,0,0,3,0,0,0,2,0,0,0,4,1,3
Ana Tejada,3,es ESP,CB,20-152,90,0,0,0,0,0,0,0,0,60,1,2,0,0.0,0.0,0.0,1,0,47,53,2,0,0,93504985,ESP,c21f25d3,b39cbf7b,47,53,978,259,9,10,33,33,5,10,0.0,0,2,0,0,2,53,50,3,3,0,1,0,0,0,0,0,0,47,0,0,1,0,0,1,0,0,0,0,0,0,0,3,4,0,60,10,31,29,0,0,60,0,0,45,1,0,2,0,0,0,0,0,0,0,5,0,0
