Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Passes_Cmp,Passes_Att,Passes_Prog,Dribbles_Succ,Dribbles_Att,PlayerID,NationID,SquadID,MatchID,Total_Cmp,Total_Att,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Medium_Cmp,Medium_Att,Long_Cmp,Long_Att,xA,KP,1/3,PPA,CrsPA,Prog,Att,PassTypes_Live,PassTypes_Dead,PassTypes_FK,PassTypes_TB,PassTypes_Sw,PassTypes_Crs,PassTypes_TI,PassTypes_CK,CornerKicks_In,CornerKicks_Out,CornerKicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Tackles_Tkl,Tackles_TklW,Tackles_Def3rd,Tackles_Mid3rd,Tackles_Att3rd,VsDribbles_Tkl,VsDribbles_Att,VsDribbles_Past,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Tkl+Int,Clr,Err,Touches_Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Touches_Live,Dribbles_Mis,Dribbles_Dis,Receiving_Rec,Receiving_Prog,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerialDuels_Won,AerialDuels_Lost
Geyse,18,br BRA,"FW,RW,LW",24-174,90,1,0,0,0,3,1,0,0,39,0,0,0,0.4,0.4,0.0,0,0,18,26,1,0,6,5b5de127,BRA,15f49df1,4df3a732,18,26,216,38,14,15,4,6,0,2,0.2,0,0,1,0,1,26,25,1,0,0,0,4,0,0,0,0,0,18,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,1,9,30,11,39,3,1,28,8,0,3,0,5,4,0,0,0,0,4,0,0
Ana-Maria Crnogorčević,7,ch SUI,LW,31-349,61,0,0,0,0,2,1,0,0,15,0,0,0,0.1,0.1,0.0,2,0,6,10,0,1,1,d3c316a3,SUI,15f49df1,4df3a732,6,10,59,15,5,5,0,3,0,0,0.0,1,0,0,0,0,10,10,0,0,0,0,1,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,1,4,10,5,15,3,1,12,7,0,0,0,0,1,0,0,0,0,1,0,0
Marta Torrejón,8,es ESP,RB,32-202,29,0,0,0,0,2,1,0,0,46,0,3,0,0.5,0.5,0.0,1,0,34,40,5,0,1,f45ad67e,ESP,15f49df1,4df3a732,34,40,438,176,24,27,9,10,0,1,0.0,0,3,0,0,5,40,34,5,0,0,0,1,5,0,0,0,0,34,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,46,0,5,25,16,5,46,0,0,33,2,0,0,1,0,1,0,0,0,0,3,0,1
Caroline Graham Hansen,10,no NOR,RW,27-211,71,1,0,0,0,3,1,1,0,63,0,0,1,0.2,0.2,0.3,9,0,38,58,4,4,7,e891b7ae,NOR,15f49df1,4df3a732,38,58,682,291,24,28,7,13,7,13,0.5,6,6,4,2,4,58,45,12,2,0,0,16,3,7,4,3,0,38,1,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,63,0,3,19,43,5,63,1,2,40,4,0,1,0,0,16,0,0,0,0,5,0,0
Nuria Rábano,22,es ESP,LB,23-094,19,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,16,19,1,1,2,a5d0b32a,ESP,15f49df1,4df3a732,16,19,248,50,8,8,7,7,1,3,0.0,0,1,1,0,1,19,14,5,0,0,0,1,5,0,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,2,9,9,1,19,0,0,12,1,0,0,0,0,1,0,0,0,0,2,0,0
Patricia Guijarro,12,es ESP,LM,24-123,10,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,1,0,0,b2ea5a14,ESP,15f49df1,4df3a732,1,1,41,19,0,0,0,0,1,1,0.0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Mariona Caldentey,9,es ESP,LM,26-182,80,0,0,0,0,0,0,0,0,56,0,1,1,0.0,0.0,0.0,2,0,36,51,7,0,0,59da315a,ESP,15f49df1,4df3a732,36,51,580,160,18,21,16,20,2,5,0.1,1,5,2,0,7,51,48,1,0,0,0,1,1,0,0,0,0,36,2,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,56,0,1,27,29,2,56,0,2,47,7,0,0,0,1,1,0,0,0,0,6,0,0
Keira Walsh,21,eng ENG,CM,25-162,71,0,0,0,0,0,0,0,0,65,1,0,0,0.0,0.0,0.0,2,0,56,61,4,0,0,ca934b6b,ENG,15f49df1,4df3a732,56,61,1190,316,22,23,23,27,11,11,0.0,0,3,0,0,4,61,61,0,0,0,1,0,0,0,0,0,0,56,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,65,0,7,52,6,0,65,1,2,55,0,0,0,0,0,0,1,0,0,0,3,2,0
Ingrid Syrstad Engen,23,no NOR,CM,24-141,19,0,0,0,0,0,0,0,0,22,2,0,0,0.0,0.0,0.0,1,0,19,20,2,1,1,0bfd82d0,NOR,15f49df1,4df3a732,19,20,303,92,9,9,5,5,3,4,0.0,0,2,1,0,2,20,20,0,0,0,0,0,0,0,0,0,0,19,0,0,2,1,2,0,0,0,0,0,0,0,0,2,0,0,22,0,3,15,4,0,22,0,0,20,0,0,3,0,0,0,1,0,0,0,1,0,0
Vicky López,30,,RM,16-053,61,0,0,0,0,1,0,0,0,41,1,0,0,0.1,0.1,0.0,1,0,31,35,1,1,1,78c237d1,,15f49df1,4df3a732,31,35,404,73,22,24,9,9,0,0,0.1,0,4,1,0,1,35,33,1,0,0,0,0,1,0,0,0,0,31,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,41,0,1,21,19,2,41,1,1,30,2,0,0,0,0,0,1,0,0,0,4,1,0
Asisat Oshoala,20,ng NGA,FW,27-343,29,0,0,0,0,0,0,0,0,8,0,0,1,0.0,0.0,0.1,1,0,5,5,0,0,1,23a1662b,NGA,15f49df1,4df3a732,5,5,64,7,4,4,1,1,0,0,0.0,1,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,8,0,1,1,6,3,8,0,0,4,2,0,0,0,1,0,0,0,0,0,3,0,2
Fridolina Rolfö,16,se SWE,"LB,LW",28-297,90,0,0,0,0,4,1,0,0,64,1,0,0,0.3,0.3,0.8,5,0,39,50,3,0,2,6862731d,SWE,15f49df1,4df3a732,39,50,598,192,17,20,22,27,0,2,0.4,3,1,1,0,3,50,47,3,0,1,0,6,3,0,0,0,0,39,0,0,1,1,0,0,1,0,0,0,0,0,0,1,2,0,64,2,6,34,25,10,64,3,0,43,9,0,0,0,0,6,1,0,0,0,3,1,0
Mapi León,4,es ESP,CB,27-096,90,0,0,0,0,0,0,0,0,103,1,0,1,0.0,0.0,0.3,4,0,90,99,11,0,0,d41a5309,ESP,15f49df1,4df3a732,90,99,1873,766,35,35,36,39,19,25,0.5,3,11,0,0,11,99,91,8,2,0,0,8,1,5,3,1,1,90,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,103,1,17,73,14,0,103,0,1,81,1,0,0,1,0,8,1,0,0,0,10,1,0
Irene Paredes,2,es ESP,CB,31-075,90,0,0,0,0,5,1,0,0,108,2,1,1,0.4,0.4,0.0,4,0,86,94,5,0,0,6a86dd87,ESP,15f49df1,4df3a732,86,94,1928,736,21,26,56,57,9,10,0.0,0,10,1,1,5,94,89,4,3,0,1,2,1,0,0,0,0,86,1,0,2,0,1,1,0,0,0,0,1,0,1,3,3,0,108,6,35,62,11,5,108,1,0,83,0,0,2,0,0,2,0,0,0,0,9,3,0
Lucy Bronze,15,eng ENG,"RB,RM",30-324,90,0,0,0,0,3,0,0,0,124,5,0,1,0.2,0.2,0.0,3,0,89,108,5,1,3,5056c581,ENG,15f49df1,4df3a732,89,108,1459,441,48,55,33,37,8,12,0.1,0,9,3,2,5,108,88,17,1,0,0,4,16,0,0,0,0,89,3,0,5,4,2,2,1,0,0,0,1,0,1,5,0,0,124,0,12,63,49,5,124,3,3,77,5,0,0,3,1,4,4,0,0,0,7,5,1
Sandra Paños,1,es ESP,GK,29-317,90,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,0,0,18,18,0,0,0,c6ae9544,ESP,15f49df1,4df3a732,18,18,367,263,4,4,13,13,1,1,0.0,0,0,0,0,0,18,14,4,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,16,20,0,0,0,20,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0
Ange N'Guessan,8,ci CIV,FW,31-303,56,0,0,0,0,3,1,0,0,17,2,0,1,0.4,0.4,0.0,0,0,2,5,0,0,0,d8e8aa5e,CIV,4c088abe,4df3a732,2,5,48,1,1,2,0,1,1,1,0.0,0,0,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,2,0,1,2,1,1,1,0,0,0,0,1,0,1,2,0,0,17,0,5,5,7,3,17,3,2,6,0,0,0,2,2,0,1,0,0,0,5,0,1
Gisela Robledo,7,co COL,FW,19-127,34,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,3,4,0,0,0,b48a6ed4,COL,4c088abe,4df3a732,3,4,62,7,0,1,3,3,0,0,0.0,0,1,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,2,1,6,2,5,8,1,0,1,1,1,0,0,0,0,0,0,0,1
María José Pérez,17,es ESP,LW,38-182,57,0,0,0,0,0,0,0,0,20,3,1,2,0.0,0.0,0.0,0,0,4,6,0,0,0,b7afea5e,ESP,4c088abe,4df3a732,4,6,44,9,2,3,1,1,0,1,0.0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,4,0,0,3,2,3,0,0,2,4,2,2,0,2,4,2,0,20,3,10,5,5,0,20,2,1,4,0,0,2,1,0,0,2,0,0,0,3,1,2
Javiera Toro,19,cl CHI,LW,24-148,33,0,0,0,0,0,0,0,0,14,1,1,1,0.0,0.0,0.0,0,0,4,9,0,0,0,358f6b63,CHI,4c088abe,4df3a732,4,9,62,9,2,5,2,2,0,2,0.0,0,1,0,0,0,9,9,0,0,0,1,1,0,0,0,0,0,4,0,0,1,1,1,0,0,1,2,1,1,0,1,2,0,0,14,2,7,5,2,0,14,2,2,7,0,0,0,0,0,1,1,0,0,0,4,2,1
Claudia Blanco,16,,RW,25-190,71,0,0,0,0,1,0,1,0,13,2,0,1,0.0,0.0,0.0,0,0,3,4,1,0,0,38807c65,,4c088abe,4df3a732,3,4,81,18,1,1,1,2,1,1,0.0,0,0,0,0,1,4,4,0,0,0,1,1,0,0,0,0,0,3,0,0,2,1,2,0,0,0,1,1,1,1,0,2,3,0,13,4,7,3,3,1,13,0,1,4,0,0,1,0,0,1,1,0,0,0,1,0,1
Paola Hernández,6,,RW,20-054,19,0,0,0,0,0,0,0,0,5,0,0,1,0.0,0.0,0.0,0,0,2,2,0,0,1,29ce678a,,4c088abe,4df3a732,2,2,26,5,1,1,1,1,0,0,0.0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,5,0,3,2,0,0,5,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
Sandra Hernández,15,es ESP,LM,25-115,90,0,0,0,0,0,0,0,0,20,2,0,0,0.0,0.0,0.0,0,0,8,14,0,0,0,18e5d67b,ESP,4c088abe,4df3a732,8,14,186,2,3,4,4,5,1,2,0.0,0,0,0,0,0,14,12,1,1,0,1,0,0,0,0,0,0,8,1,1,2,1,0,2,0,0,0,0,0,0,0,2,1,0,20,2,8,8,4,0,20,3,1,11,2,0,0,2,0,0,1,0,0,0,1,0,5
Natalia Ramos,14,es ESP,CM,23-219,90,0,0,0,0,0,0,0,0,36,5,0,2,0.0,0.0,0.0,0,0,12,24,0,0,0,454771bc,ESP,4c088abe,4df3a732,12,24,294,80,4,5,5,8,3,8,0.0,0,0,0,0,0,24,24,0,0,0,0,0,0,0,0,0,0,12,0,2,5,3,5,0,0,1,2,1,2,1,1,5,1,0,36,3,24,13,3,0,36,2,1,12,0,0,1,1,0,0,3,0,0,0,8,0,2
Silvia Doblado,21,es ESP,RM,35-179,57,0,0,0,0,0,0,0,0,26,2,2,2,0.0,0.0,0.0,0,0,8,16,0,0,0,00bdb60c,ESP,4c088abe,4df3a732,8,16,120,6,5,6,2,6,1,3,0.0,0,0,0,0,0,16,12,3,1,0,0,0,2,0,0,0,0,8,1,0,2,1,1,0,1,0,0,0,2,2,0,4,4,0,26,7,15,7,4,0,26,0,0,6,0,0,0,0,0,0,1,0,0,0,2,0,0
Encarni,33,,RM,21-018,33,0,0,0,0,0,0,0,0,7,0,1,0,0.0,0.0,0.0,0,0,4,6,1,0,0,4e2a3397,,4c088abe,4df3a732,4,6,51,34,2,2,2,3,0,1,0.0,0,0,0,0,1,6,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,7,0,4,3,0,0,7,0,0,6,0,0,0,2,0,0,0,0,0,0,1,0,0
Raquel Peña,23,es ESP,LB,33-271,76,0,0,0,0,0,0,0,0,48,3,4,0,0.0,0.0,0.0,0,0,16,34,1,0,0,67d43354,ESP,4c088abe,4df3a732,16,34,361,247,5,7,8,14,3,13,0.0,0,0,0,0,1,34,19,15,3,0,1,1,11,1,1,0,0,16,0,0,3,3,3,0,0,3,4,1,0,0,0,7,6,0,48,5,31,12,5,0,48,0,0,13,0,0,0,0,0,1,3,0,0,0,2,0,0
Verónica Herrera,34,ve VEN,LB,22-246,14,0,0,0,0,0,0,0,0,5,0,0,1,0.0,0.0,0.0,0,0,2,4,0,0,0,57f0f9b3,VEN,4c088abe,4df3a732,2,4,26,15,2,3,0,0,0,0,0.0,0,0,0,0,0,4,1,3,0,0,0,0,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,1,3,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrea Marrero,4,,CB,25-346,90,0,0,0,0,0,0,0,0,23,2,2,1,0.0,0.0,0.0,1,0,8,13,0,0,0,d425eb3b,,4c088abe,4df3a732,8,13,192,38,0,0,6,9,2,3,0.0,0,0,0,0,0,13,12,1,1,0,0,0,0,0,0,0,0,8,0,0,2,2,2,0,0,2,2,0,1,1,0,4,4,0,23,6,23,0,0,0,23,0,0,6,0,0,0,0,0,0,2,0,0,0,4,1,0
Sara López,28,,CB,20-244,90,0,0,0,0,0,0,0,0,28,2,0,0,0.0,0.0,0.3,1,0,12,24,0,0,0,7ea14a04,,4c088abe,4df3a732,12,24,400,160,0,3,5,7,7,13,0.2,1,2,0,0,0,24,17,6,6,1,0,0,0,0,0,0,0,12,1,0,2,2,2,0,0,2,3,1,0,0,0,2,2,0,28,5,21,7,0,0,28,0,0,10,0,0,0,0,0,0,2,0,0,0,6,0,0
María Estella,20,,RB,28-099,90,0,0,0,0,0,0,0,0,30,2,4,4,0.0,0.0,0.0,0,0,9,17,0,0,0,55cc92c7,,4c088abe,4df3a732,9,17,227,155,1,2,6,8,2,7,0.0,0,0,0,0,0,17,8,9,0,0,0,0,9,0,0,0,0,9,0,1,2,0,2,0,0,2,2,0,4,3,1,6,3,0,30,11,24,5,1,0,30,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0
Nayluisa Cáceres,25,ve VEN,GK,22-303,90,0,0,0,0,0,0,1,0,47,0,0,0,0.0,0.0,0.0,0,0,13,44,0,0,0,f262e54f,VEN,4c088abe,4df3a732,13,44,332,240,2,2,4,4,6,37,0.0,0,0,0,0,0,44,26,18,5,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,47,43,47,0,0,0,47,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0
Sara Carrillo,19,,FW,20-028,67,0,0,0,0,1,0,0,0,34,1,0,2,0.0,0.0,0.0,1,0,12,24,1,1,3,aa9bb943,,aa11fb42,87c755cd,12,24,216,40,7,10,4,9,1,4,0.0,0,1,0,0,1,24,22,2,0,0,1,0,2,0,0,0,0,12,0,0,1,0,0,1,0,1,1,0,2,0,2,1,0,0,34,0,1,16,17,1,34,3,0,22,1,0,1,3,0,0,0,0,0,0,6,3,5
Lice Chamorro,18,py PAR,FW,23-269,23,0,0,0,0,0,0,0,0,12,1,0,1,0.0,0.0,0.0,0,0,4,8,0,0,0,17630d22,PAR,aa11fb42,87c755cd,4,8,46,0,3,3,1,2,0,1,0.0,0,0,0,0,0,8,6,1,0,0,0,1,0,0,0,0,0,4,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,12,0,0,4,8,1,12,1,1,6,0,0,0,1,0,1,1,0,0,0,0,2,1
Ane Miren Martínez,7,,LW,30-012,67,0,0,0,0,0,0,0,0,27,0,0,3,0.0,0.0,0.0,0,0,9,16,0,0,3,f4697c5c,,aa11fb42,87c755cd,9,16,133,57,4,4,2,4,1,5,0.0,0,0,0,0,0,16,13,3,1,0,0,4,0,2,2,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,3,0,1,0,27,0,5,6,16,1,27,3,2,11,0,0,1,0,0,4,0,0,0,0,6,0,0
Carla Morera,21,,RW,27-184,23,1,0,0,0,1,1,1,0,6,0,0,0,0.5,0.5,0.0,0,0,2,4,0,0,0,e953f471,,aa11fb42,87c755cd,2,4,37,0,0,0,2,2,0,2,0.0,0,0,0,0,0,4,4,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,0,3,1,2,1,6,0,2,5,0,0,1,0,2,1,0,0,0,0,0,0,0
Carla Armengol,11,es ESP,"RW,LW",24-168,77,0,0,0,0,1,1,0,0,25,0,1,1,0.0,0.0,0.0,1,0,11,16,0,1,2,25f540ad,ESP,aa11fb42,87c755cd,11,16,154,22,7,10,2,3,2,3,0.1,0,1,1,1,0,16,15,1,1,0,0,2,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,0,1,0,1,1,1,0,25,0,2,7,17,2,25,1,2,17,3,0,1,3,0,2,0,0,0,0,2,0,0
Alba Aznar,10,,LW,29-015,13,0,0,0,0,0,0,0,0,7,0,1,0,0.0,0.0,0.0,0,0,3,4,1,0,0,f7f6c62c,,aa11fb42,87c755cd,3,4,64,40,1,1,1,1,1,2,0.1,0,1,1,0,1,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,1,5,1,0,7,0,2,3,0,0,0,0,0,0,0,0,0,0,2,0,0
Gema Soliveres,6,,LM,21-318,57,0,0,0,0,1,0,0,0,25,0,0,1,0.0,0.0,0.0,0,0,11,20,0,0,0,fbfaadb9,,aa11fb42,87c755cd,11,20,248,35,2,5,7,8,1,5,0.0,0,1,0,0,0,20,14,6,0,0,0,4,0,4,4,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,25,0,4,9,12,0,25,1,1,11,0,0,0,1,0,4,0,0,0,0,3,0,1
Jessica Aby,20,ci CIV,LM,24-093,33,0,0,0,0,0,0,0,0,14,2,0,0,0.0,0.0,0.0,0,0,8,11,0,2,3,72c566fe,CIV,aa11fb42,87c755cd,8,11,125,11,4,4,3,5,1,2,0.0,0,0,0,0,0,11,10,1,1,0,0,0,0,0,0,0,0,8,0,0,2,1,1,1,0,0,0,0,0,0,0,2,0,0,14,0,3,6,6,3,14,0,0,9,3,0,2,0,0,0,1,0,0,0,2,0,1
Miriam Diéguez,14,es ESP,CM,36-136,90,0,0,0,0,1,1,0,0,29,0,0,1,0.0,0.0,0.1,2,0,15,25,3,0,0,47df4a71,ESP,aa11fb42,87c755cd,15,25,298,121,5,6,6,9,3,9,0.1,1,3,1,0,3,25,19,6,4,0,0,4,0,2,1,1,0,15,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,29,0,7,15,7,0,29,1,0,10,0,0,0,0,0,4,0,0,0,0,5,1,0
Fátima Pinto,17,pt POR,RM,26-244,90,0,0,0,0,1,0,0,0,45,4,0,4,0.1,0.1,0.0,2,0,19,26,0,0,2,5772c6a8,POR,aa11fb42,87c755cd,19,26,342,35,6,9,9,10,3,4,0.0,1,1,0,0,0,26,26,0,0,0,0,0,0,0,0,0,0,19,0,0,4,4,1,3,0,1,1,0,4,0,4,4,3,0,45,3,14,14,17,3,45,2,3,19,1,0,0,1,0,0,4,0,0,0,4,2,2
Garazi Fácila,12,,LB,22-327,90,0,0,0,0,0,0,1,0,62,4,2,2,0.0,0.0,0.0,1,0,30,49,0,2,4,a94af7b3,,aa11fb42,87c755cd,30,49,495,306,15,19,10,15,4,8,0.0,0,1,0,0,0,49,28,20,1,0,0,1,19,0,0,0,0,30,1,3,4,2,3,0,1,1,3,2,2,0,2,6,3,0,62,2,15,29,18,0,62,2,1,25,1,0,2,2,0,1,2,0,0,0,7,0,1
Camila Sáez,4,cl CHI,CB,27-335,90,0,0,0,0,1,0,1,0,56,2,2,1,0.8,0.8,0.0,1,1,32,47,2,1,1,e20acc1f,CHI,aa11fb42,87c755cd,32,47,622,225,9,13,19,22,3,11,0.0,0,1,0,0,2,47,42,5,4,0,0,0,1,0,0,0,0,32,0,0,2,1,1,1,0,1,1,0,1,0,1,4,3,0,56,7,42,13,3,2,56,0,0,31,0,0,1,0,0,0,1,0,0,0,7,2,1
Elba Vergés Prats,2,fr FRA,"CB,RB",26-328,90,0,0,0,0,1,1,0,0,45,2,0,0,0.1,0.1,0.0,0,0,29,37,2,0,1,d5b21745,FRA,aa11fb42,87c755cd,29,37,575,119,9,14,18,20,2,3,0.0,0,1,0,0,2,37,36,1,1,0,1,0,0,0,0,0,0,29,0,0,2,0,0,1,1,0,0,0,0,0,0,2,4,0,45,9,30,13,2,2,45,0,0,24,0,0,0,1,0,0,0,0,0,0,5,1,1
Cristina Auñón,22,,RB,33-178,77,0,0,0,0,0,0,0,0,41,2,3,1,0.0,0.0,0.0,0,0,23,31,0,0,0,1c279d7d,,aa11fb42,87c755cd,23,31,317,120,14,15,6,7,2,7,0.0,0,1,0,0,0,31,21,10,2,0,0,1,8,0,0,0,0,23,0,2,2,2,1,0,1,1,1,0,1,0,1,5,3,0,41,3,12,15,14,0,41,2,1,16,0,0,0,2,0,1,2,0,0,0,4,0,0
Osinachi Ohale,3,ng NGA,"CB,RB",30-270,13,0,0,0,0,0,0,0,0,5,1,0,0,0.0,0.0,0.0,0,0,1,3,0,0,0,69053d78,NGA,aa11fb42,87c755cd,1,3,12,12,1,1,0,0,0,2,0.0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1,5,0,5,0,0,0,5,1,1,0,0,0,0,1,0,0,1,0,0,0,3,0,1
Patricia Larqué,1,es ESP,GK,30-138,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,0,0,23,41,0,0,0,144af1b3,ESP,aa11fb42,87c755cd,23,41,648,474,6,6,9,11,8,24,0.0,0,0,0,0,0,41,30,11,4,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,42,37,42,0,0,0,42,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucia Pardo,18,,FW,22-255,78,1,0,0,0,3,2,0,0,30,1,0,0,0.2,0.2,0.5,1,0,12,22,0,0,1,645bf5f7,,89818574,87c755cd,12,22,249,18,2,3,10,15,0,1,0.1,1,1,1,1,0,22,22,0,0,0,0,5,0,0,0,0,0,12,0,3,1,1,1,0,0,1,2,1,0,0,0,1,0,0,30,0,3,11,16,4,30,2,2,22,6,0,1,0,1,5,1,0,0,0,3,0,1
Racheal Kundananji,3,zm ZAM,AM,22-106,12,0,0,0,0,1,1,0,0,8,0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,1,32f48f46,ZAM,89818574,87c755cd,1,1,11,6,1,1,0,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,7,1,8,2,0,5,2,0,1,0,0,0,0,0,0,0,1,0,0
Gabi Nunes,9,br BRA,FW,25-191,90,0,1,0,0,0,0,0,0,35,1,0,0,0.0,0.0,0.1,3,1,22,28,3,1,2,8ce35340,BRA,89818574,87c755cd,22,28,437,80,8,9,11,13,3,6,0.1,3,3,2,1,3,28,27,1,0,0,0,1,0,0,0,0,0,22,0,0,1,0,1,0,0,0,1,1,0,0,0,1,3,0,35,3,6,15,14,1,35,1,4,29,6,0,0,1,2,1,0,0,0,0,2,2,0
Florencia Bonsegundo,11,ar ARG,AM,29-065,90,1,0,0,0,2,1,0,0,53,3,0,1,0.7,0.7,0.0,4,2,23,40,4,1,1,6965bcd4,ARG,89818574,87c755cd,23,40,482,195,8,11,9,12,5,11,0.0,0,4,0,0,4,40,36,3,0,1,0,0,3,0,0,0,0,23,1,3,3,3,0,2,1,0,1,1,1,0,1,3,2,0,53,3,15,23,16,3,53,4,1,35,3,0,3,1,0,0,3,0,0,0,7,0,1
Estela Fernández,21,,CM,31-131,68,0,0,0,0,0,0,0,0,39,1,0,0,0.0,0.0,0.1,1,0,19,33,2,0,0,419dbe83,,89818574,87c755cd,19,33,493,242,5,6,8,11,6,14,0.2,1,5,1,0,2,33,28,5,1,1,0,4,0,4,2,1,0,19,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,39,1,8,23,9,0,39,1,1,19,0,0,0,1,0,4,1,0,0,0,8,0,0
Karen Araya,8,cl CHI,CM,31-336,22,0,0,0,0,1,1,0,0,16,1,0,0,0.0,0.0,0.0,1,0,5,10,2,1,1,c464f93a,CHI,89818574,87c755cd,5,10,110,67,1,1,4,6,0,2,0.0,0,1,0,0,2,10,9,1,0,0,0,1,0,1,1,0,0,5,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,16,0,2,9,6,0,16,3,1,8,0,0,0,1,0,1,1,0,0,0,3,0,1
Ana González,20,,CM,27-175,90,0,0,0,0,1,0,0,0,52,6,0,1,0.1,0.1,0.0,1,0,23,35,5,0,0,c73de6bc,,89818574,87c755cd,23,35,455,156,7,10,15,19,1,3,0.0,0,3,0,0,5,35,33,1,0,0,0,0,1,0,0,0,0,23,1,3,6,5,3,2,1,2,2,0,1,0,1,6,2,0,52,2,15,30,9,1,52,3,0,25,1,0,3,1,0,0,5,0,0,0,6,3,2
Laura Domínguez,7,,WB,25-036,90,0,0,0,0,0,0,0,0,58,3,1,2,0.0,0.0,0.1,3,1,30,46,2,1,2,2f7b026f,,89818574,87c755cd,30,46,404,207,22,27,7,12,1,3,0.2,1,1,0,0,2,46,33,12,0,0,0,1,12,0,0,0,0,30,1,0,3,2,1,1,1,0,0,0,2,0,2,4,2,0,58,3,24,10,24,2,58,1,1,24,6,0,0,2,0,1,2,0,0,0,4,0,0
