Squad,#Pl,Age,Poss,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,Squad_id,League_id,Sh,SoT,Dist,FK,npxG_by_Sh,G-xG,np:G-xG,Passes_Att,Passes_TotDist,Passes_PrgDist,KP,LastThird,PPA,CrsPA,SCA,SCA_PassLive,SCA_PassDead,SCA_Drib,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA_PassLive,GCA_PassDead,GCA_Drib,GCA_Sh,GCA_Fld,GCA_Def,Tkl,Tackles_Def3rd,Tackles_Mid3rd,Tackles_Att3rd,Blocks,Blocks_Sh,Blocks_Pass,Int,Clr,Err,Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Touches_Live,Dribbles_Succ,Dribbles_Att,Receiving_Rec,Receiving_Prog,Subs,unSub,TS_PPM,TS_onG,TS_onGA,TS_Diff,TS(xG)_onxG,TS(xG)_onxGA,TS(xG)_xGDiff,2CrdY,Fls,Fld,Off,Crs,TklW,PKcon,OG,Recov,AerialDuels_Won,AerialDuels_Lost,Passes_Cmp
Everton,21,25.2,54.4,8,88,720,5,3,0,0,8,0,5.7,5.7,4.5,c4989550,189,79,31,16.6,0,0.07,-0.7,-0.7,4349,65054,23020,56,212,44,10,129,89,14,3,11,6,6,8,5,0,0,1,1,1,119,61,41,17,101,30,71,99,127,0,5030,677,2229,1917,933,128,5030,53,97,3413,204,35,23,1.13,7,10,-3,5.7,12.4,-6.7,0,64,92,6,80,95,1,0,428,57,53,3458
Leicester City WFC,22,25.9,37.9,9,99,810,1,1,0,0,11,0,3.9,3.9,2.9,23bce84e,189,80,25,20.2,1,0.05,-2.9,-2.9,3203,43007,18618,53,139,32,15,120,77,14,4,14,9,2,2,2,0,0,0,0,0,174,91,65,18,114,27,87,113,154,1,4050,532,1756,1679,662,88,4050,32,85,2088,145,31,45,0.00,2,25,-23,3.9,13.0,-9.1,0,86,95,17,84,116,2,1,494,60,73,2144
Liverpool,20,29.1,44.9,9,99,810,11,6,2,2,13,0,11.4,9.8,6.2,00f74a56,189,106,28,16.9,1,0.09,-0.4,-0.8,3667,52141,21295,67,201,45,21,157,109,19,7,10,6,6,19,15,0,1,1,1,1,143,67,53,23,101,35,66,124,154,0,4473,668,1930,1695,884,154,4471,38,78,2530,184,38,40,0.89,11,16,-5,11.4,12.3,-0.9,0,73,65,7,130,97,3,1,466,78,104,2583
Manchester City,21,25.4,61.3,9,99,810,18,15,0,1,8,0,17.5,16.8,13.7,9ce68f8a,189,177,58,15.5,3,0.10,+0.5,+1.2,5283,81858,31071,137,374,101,36,296,224,20,13,24,8,7,31,21,2,2,5,0,1,116,36,53,27,75,16,59,87,98,3,6016,568,1953,2529,1567,277,6015,51,91,4331,312,28,52,2.11,21,10,+11,17.5,6.7,+10.9,0,71,58,8,194,82,1,0,506,65,54,4382
Manchester Utd,20,26.6,59.6,9,99,810,24,21,1,1,10,0,11.2,10.4,8.5,0bbd83f6,189,132,53,16.4,3,0.08,+12.8,+12.6,4978,75599,28086,102,287,102,18,229,165,25,5,18,12,4,44,32,5,2,3,2,0,114,50,46,18,95,26,69,113,119,0,5768,652,2165,2350,1290,222,5767,34,80,4021,281,36,43,2.44,24,6,+18,11.2,5.6,+5.5,0,71,76,33,143,84,0,0,466,46,52,4080
Reading,20,27.6,42.3,10,110,900,11,4,1,1,15,1,8.3,7.5,4.6,5d020380,189,90,34,17.8,0,0.09,+2.7,+2.5,3664,47745,21633,59,201,51,16,134,84,22,5,9,10,4,16,9,1,1,1,3,1,146,69,55,22,150,50,100,152,179,2,4598,634,1822,1845,980,136,4596,23,96,2364,186,33,35,0.70,12,23,-11,8.3,15.9,-7.6,0,103,79,18,160,104,3,2,551,74,79,2408
Tottenham,21,27.8,47.9,8,88,720,10,9,0,0,12,0,7.1,7.1,4.8,e8e4577c,189,88,29,19.9,2,0.08,+2.9,+2.9,3548,46287,19041,66,165,44,14,134,101,10,4,6,4,9,13,9,3,0,0,1,0,158,65,76,17,105,28,77,129,165,1,4396,544,1717,1831,884,130,4396,26,74,2635,185,29,24,1.13,11,14,-3,7.1,8.7,-1.6,0,74,55,16,101,105,2,2,454,48,43,2679
West Ham,21,27.5,40.3,10,110,900,14,10,0,1,19,1,8.9,8.1,4.9,52d65cea,189,77,26,16.2,3,0.11,+5.1,+5.9,3541,42255,19683,50,177,38,8,120,80,12,5,10,9,4,19,13,2,1,2,0,1,163,85,63,15,145,44,101,123,190,1,4428,702,1903,1679,894,132,4427,34,65,2156,170,36,34,1.50,15,18,-3,8.9,17.7,-8.8,0,119,78,16,108,108,4,0,470,75,65,2192
Bordeaux,22,23.3,45.1,11,121,990,13,11,0,0,21,0,12.6,12.6,9.7,69dee2b0,193,117,55,18.7,9,0.11,+0.4,+0.4,4098,51783,24866,74,212,48,19,179,112,15,12,17,13,10,21,16,0,3,1,0,1,227,106,93,28,107,26,81,203,174,2,5330,646,2271,2012,1121,152,5330,83,198,2669,202,44,31,1.36,14,15,-1,12.6,11.4,+1.2,0,132,142,23,171,144,1,1,769,64,108,2727
Dijon,21,24.9,48.0,11,110,900,6,6,0,1,15,1,8.5,7.7,5.2,68f9fd31,193,71,25,22.6,4,0.10,-2.5,-1.7,4669,67440,27250,54,190,31,9,122,89,9,6,8,6,4,12,10,2,0,0,0,0,212,135,66,11,129,40,89,152,222,3,5809,895,2826,2306,736,86,5808,64,160,3442,202,38,31,0.73,6,32,-26,8.5,23.0,-14.6,1,113,100,13,89,134,1,3,630,56,63,3499
Fleury,22,26.0,46.5,11,121,990,17,12,2,2,22,3,15.5,13.9,10.8,4fcc2996,193,163,62,19.9,1,0.09,+1.5,+1.1,4288,55426,23252,114,252,69,16,257,190,19,11,14,10,13,23,12,3,2,1,4,1,233,99,88,46,123,19,104,188,152,0,5608,561,2060,2134,1512,250,5606,103,201,2997,255,46,30,1.64,19,9,+10,15.5,9.5,+6.0,3,134,113,24,185,168,1,0,759,97,73,3057
Guingamp,20,24.5,47.3,11,110,900,5,3,0,0,18,0,11.5,11.5,7.6,abc4f6d7,193,75,27,21.0,7,0.13,-6.5,-6.5,4275,56440,24116,64,256,42,19,149,105,16,10,5,12,1,9,7,1,0,1,0,0,211,104,75,32,124,32,92,158,132,4,5353,628,2212,2075,1127,133,5353,59,130,2985,246,39,30,0.64,7,21,-14,11.5,18.2,-6.7,0,131,106,24,176,114,2,0,688,83,96,3058
Le Havre,21,27.1,44.6,11,110,900,16,12,1,1,27,1,12.4,11.6,8.7,c57b7254,193,108,45,21.8,3,0.09,+3.6,+3.4,3944,44684,23024,86,232,56,12,184,121,25,9,11,8,10,23,14,3,2,2,1,1,254,115,100,39,128,29,99,140,149,0,5138,590,1914,2160,1127,163,5137,54,131,2346,271,46,24,1.18,17,17,0,12.4,17.9,-5.6,1,155,99,32,159,167,2,0,780,105,106,2414
Lyon,23,27.5,62.9,11,110,900,27,18,0,0,16,0,25.2,25.2,18.4,7f2012ad,193,214,86,17.7,8,0.11,+1.8,+1.8,6129,92142,33081,173,475,139,50,393,283,43,7,34,22,4,47,30,4,2,6,5,0,203,58,96,49,69,5,64,136,74,1,7258,342,1573,3284,2468,371,7258,88,173,4842,480,41,29,2.55,28,7,+21,25.2,5.4,+19.8,0,114,102,13,281,117,1,1,740,120,65,4917
