Squad,#Pl,Age,Poss,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,Squad_id,League_id,Sh,SoT,Dist,FK,npxG_by_Sh,G-xG,np:G-xG,Passes_Att,Passes_TotDist,Passes_PrgDist,KP,LastThird,PPA,CrsPA,SCA,SCA_PassLive,SCA_PassDead,SCA_Drib,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA_PassLive,GCA_PassDead,GCA_Drib,GCA_Sh,GCA_Fld,GCA_Def,Tkl,Tackles_Def3rd,Tackles_Mid3rd,Tackles_Att3rd,Blocks,Blocks_Sh,Blocks_Pass,Int,Clr,Err,Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Touches_Live,Dribbles_Succ,Dribbles_Att,Receiving_Rec,Receiving_Prog,Subs,unSub,TS_PPM,TS_onG,TS_onGA,TS_Diff,TS(xG)_onxG,TS(xG)_onxGA,TS(xG)_xGDiff,2CrdY,Fls,Fld,Off,Crs,TklW,PKcon,OG,Recov,AerialDuels_Won,AerialDuels_Lost,Passes_Cmp
Köln,19,25.7,49.6,10,110,900,9,4,2,4,16,1,12.5,9.4,7.1,88ddc98e,183,105,33,18.8,5,0.09,-3.5,-2.4,4444,57220,25379,71,223,49,17,175,110,22,9,10,21,3,16,9,1,0,0,5,1,199,97,76,26,108,29,79,121,165,1,5543,727,2359,2157,1089,163,5539,54,116,3011,233,38,21,1.00,10,17,-7,12.5,14.6,-2.1,1,101,103,26,144,115,1,2,657,97,98,3077
Leverkusen,22,23.6,53.5,10,110,900,15,12,1,2,20,0,14.4,12.8,10.2,c6d4860a,183,120,39,18.5,2,0.11,+0.6,+1.2,5119,73153,27646,85,306,61,17,204,157,12,13,13,6,3,25,20,0,3,1,1,0,169,65,74,30,87,19,68,97,155,1,6197,577,2240,2674,1343,160,6195,68,150,3815,313,35,43,1.20,15,16,-1,14.4,12.0,+2.4,0,125,91,17,157,105,1,0,735,80,90,3877
MSV Duisburg,23,24.0,36.4,10,110,900,9,6,0,0,7,1,4.8,4.8,2.9,0580d9a9,183,57,26,22.0,2,0.08,+4.2,+4.2,3448,40000,19916,42,96,29,12,97,67,13,5,5,6,1,14,8,2,1,2,1,0,196,117,67,12,125,38,87,132,320,4,4725,883,2355,1818,599,79,4725,34,83,2084,130,35,25,1.00,9,23,-14,4.8,20.5,-15.7,1,65,72,9,89,109,2,0,627,118,136,2131
SV Meppen,19,24.2,45.1,10,110,900,8,5,1,2,15,0,7.3,5.7,4.2,4ed1418c,183,85,34,21.4,3,0.07,+0.7,+1.3,3996,51058,21890,62,158,32,11,138,99,10,7,5,14,3,10,7,0,2,0,1,0,241,132,85,24,107,22,85,152,167,3,5159,904,2635,1804,767,93,5157,52,108,2579,142,43,40,1.20,8,12,-4,7.3,17.4,-10.1,0,115,122,22,100,141,4,0,659,86,78,2649
Turbine Potsdam,26,23.9,44.8,10,110,900,4,3,0,0,12,2,5.8,5.8,4.8,de550500,183,69,29,19.6,3,0.09,-1.8,-1.8,3933,49588,23368,54,222,41,11,107,74,17,1,5,9,1,6,2,2,0,1,1,0,177,89,65,23,136,41,95,124,243,1,5122,737,2095,2005,1069,108,5122,46,137,2515,196,32,34,0.10,5,28,-23,5.8,22.5,-16.7,1,102,101,27,123,120,1,1,629,85,109,2568
Werder Bremen,20,24.4,44.0,10,110,900,6,2,0,1,19,0,8.7,8.0,5.0,7adbf480,183,121,36,19.7,6,0.07,-2.7,-2.0,3667,42593,20843,73,228,58,20,189,122,19,11,11,16,10,7,4,0,2,0,1,0,212,89,89,34,137,30,107,116,194,4,4951,529,1713,2055,1241,211,4949,47,124,2165,244,40,45,0.40,6,17,-11,8.7,14.5,-5.7,0,145,82,22,183,117,3,0,652,112,104,2224
Wolfsburg,22,26.4,62.2,10,110,900,34,24,1,1,4,0,27.8,27.0,21.7,a1393014,183,211,86,14.6,4,0.13,+6.2,+6.0,5793,86590,33556,161,428,139,51,358,259,36,19,25,10,9,61,43,7,2,3,3,3,207,74,86,47,98,16,82,132,94,2,6932,514,1929,3030,2022,389,6931,80,157,4378,433,42,43,3.00,35,5,+30,27.8,5.9,+21.9,0,69,84,32,264,130,1,0,707,113,86,4467
AC Milan,20,27.4,45.2,12,132,"1,080",23,16,0,2,21,1,18.2,16.6,11.6,54da9a57,208,158,56,16.6,1,0.11,+4.8,+6.4,4531,57585,28004,109,255,98,29,258,186,37,8,12,10,5,35,23,6,1,3,1,1,216,83,95,38,103,29,74,172,215,1,5871,662,1927,2420,1586,258,5869,37,129,3006,306,42,66,1.58,25,22,+3,18.2,16.5,+1.7,1,143,92,25,252,134,1,0,684,130,96,0
AS Roma,23,27.1,61.4,12,132,"1,080",23,15,0,0,16,1,23.6,23.6,17.4,02f8d026,208,314,110,19.4,12,0.08,-0.6,-0.6,6473,93150,35985,206,526,126,40,512,364,51,21,41,24,11,35,25,2,2,3,2,1,178,59,78,41,134,31,103,146,108,0,7774,558,2016,3290,2539,407,7774,92,201,4972,449,51,57,2.50,23,7,+16,23.6,6.0,+17.5,1,139,126,18,353,131,0,1,806,98,109,0
ASD Calcio Pomigliano,19,24.7,40.3,12,132,"1,080",12,8,2,4,12,2,10.9,7.8,6.0,9f18ced7,208,120,45,22.1,8,0.07,+1.1,+2.2,4064,50241,23526,79,156,43,10,193,108,27,14,19,21,4,21,11,1,4,3,2,0,226,128,74,24,152,49,103,162,291,3,5519,932,2598,1982,1017,134,5516,67,177,2672,183,45,60,0.83,12,24,-12,10.9,21.6,-10.7,2,139,211,21,138,148,1,2,684,89,98,0
FC Como Women,22,26.2,44.8,12,132,"1,080",17,9,2,4,26,1,14.9,11.7,7.9,756c9acb,208,147,50,19.7,7,0.08,+2.1,+3.3,4385,57656,29118,94,281,60,19,250,161,24,16,21,22,6,30,15,3,5,3,4,0,281,121,122,38,147,48,99,147,182,6,5689,723,2122,2482,1168,193,5685,96,160,2938,293,53,55,0.83,17,25,-8,14.9,21.1,-6.1,0,182,151,30,156,192,7,0,737,123,84,0
Fiorentina,21,27.8,49.1,12,132,"1,080",21,14,3,3,19,0,19.8,17.4,13.7,c99ff6e5,208,171,63,17.3,4,0.10,+1.2,+0.6,4915,64577,29594,125,257,88,28,277,208,29,6,16,14,4,33,23,2,1,2,5,0,240,119,95,26,91,30,61,126,224,0,6140,778,2290,2532,1396,238,6137,66,158,3492,312,53,55,2.08,21,16,+5,19.8,15.1,+4.7,0,136,138,48,174,174,1,1,724,84,100,0
Internazionale,23,27.2,57.4,12,132,"1,080",26,19,2,2,21,0,22.2,20.7,15.6,06d05f19,208,217,60,17.5,4,0.10,+3.8,+3.3,5949,92214,36497,156,435,134,36,362,275,33,17,25,10,2,42,34,1,3,3,0,1,243,111,97,35,131,48,83,109,222,2,7240,784,2429,2936,1937,358,7238,71,142,4566,429,55,53,1.83,28,14,+14,22.2,14.9,+7.3,0,167,101,26,259,161,2,0,699,95,90,0
Juventus,22,27.6,60.3,12,132,"1,080",32,26,1,1,12,2,23.3,22.6,15.6,613577b8,208,235,86,17.7,11,0.10,+8.7,+8.4,6608,100298,38673,166,503,129,35,392,274,43,21,35,15,4,53,39,3,5,3,2,1,201,73,99,29,121,29,92,100,122,4,7781,628,2349,3318,2186,354,7780,77,171,5327,497,56,52,2.25,32,12,+20,23.3,11.3,+12.0,0,111,132,21,250,132,1,0,700,90,64,0
Parma Calcio 1913,22,26.3,45.8,12,132,"1,080",11,6,0,2,22,0,11.9,10.3,6.4,f7d05cb5,208,122,28,19.7,3,0.09,-0.9,+0.7,4537,58307,25738,81,203,53,22,185,110,29,10,18,14,4,17,10,1,0,2,2,2,219,116,66,37,116,53,63,144,271,3,5851,900,2489,2386,1054,158,5849,74,158,3081,211,42,62,0.50,11,33,-22,11.9,23.2,-11.3,0,157,150,41,159,140,4,0,686,85,103,0
Sassuolo,28,25.8,50.7,12,132,"1,080",13,12,0,1,21,1,11.1,10.3,8.4,a8e83f23,208,113,40,18.4,2,0.09,+1.9,+2.7,5422,71498,31537,89,281,82,31,183,145,14,6,4,9,5,25,16,3,3,0,2,1,222,104,88,30,179,58,121,152,250,3,6736,987,2812,2652,1337,170,6735,46,100,3835,287,51,57,0.83,13,18,-5,11.1,21.7,-10.6,0,164,142,30,214,151,2,0,723,90,111,0
UC Sampdoria,24,25.6,44.9,12,132,"1,080",7,3,1,2,29,1,15.3,13.8,9.3,58e367c3,208,144,47,18.7,3,0.10,-8.3,-7.8,4674,59618,27182,95,239,51,16,246,162,27,16,18,18,5,11,3,1,2,3,2,0,231,130,71,30,139,62,77,208,270,1,6056,841,2501,2486,1130,168,6054,82,163,3205,266,57,51,0.83,7,18,-11,15.3,19.8,-4.4,0,145,165,22,176,148,2,0,698,98,127,0
