Player,Pos,Squad,MP,Starts,Min,GA,SoTA,Saves,W,D,L,CleanSheets,PKatt,PKA,PKsv,PKm,Goals_FK,Goals_CK,Goals_OG,PSxG,PSxG/SoT,PSxG+/-,Launched_Cmp,Launched_Att,Passes_Att,Passes_Thr,Passes_AvgLen,GoalKicks_Att,GoalKicks_AvgLen,Crosses_Opp,Crosses_Stp,Sweeper_#OPA,Sweeper_AvgDist
Kari Närdemann,GK,MSV Duisburg,1,1,90,4,11,7,0,0,1,0,0,0,0,0,0,2,0,4.3,0.39,+0.3,1,16,29,4,26.0,17,42.8,33,0,0,7.3
Jasmin Pal,GK,Köln,3,3,270,5,20,15,0,0,3,0,0,0,0,0,0,0,0,5.2,0.28,+0.2,11,23,132,25,26.5,23,34.5,40,2,7,15.5
Laura Sieger,GK,SV Meppen,9,9,810,9,42,32,4,0,5,4,2,1,0,1,0,0,0,9.3,0.17,+0.3,29,93,346,40,29.0,95,27.3,132,17,11,11.5
Martina Tufeković,GK,Hoffenheim,7,7,630,14,48,34,4,1,2,1,0,0,0,0,0,2,0,12.5,0.26,-1.5,28,87,318,46,26.8,59,38.3,120,5,8,13.7
Anna Wellmann,GK,Turbine Potsdam,2,2,180,6,19,13,0,0,2,0,0,0,0,0,0,1,0,5.2,0.27,-0.8,14,41,76,9,35.6,24,36.6,40,0,1,14.0
Sophia Winkler,GK,Essen,9,9,810,25,46,21,2,1,6,2,0,0,0,0,1,3,0,18.7,0.41,-6.3,38,139,257,42,33.1,77,44.4,123,10,11,13.0
Roberta Aprile,GK,Juventus,3,3,270,5,7,2,2,0,1,1,0,0,0,0,0,1,0,2.7,0.39,-2.3,1,5,65,11,23.2,12,17.6,16,3,3,13.9
Rachele Baldi,GK,Fiorentina,2,2,180,0,6,5,2,0,0,2,1,0,1,0,0,0,0,2.4,0.23,+2.4,9,21,70,14,28.6,7,33.1,25,6,2,11.2
Beatrice Beretta,GK,FC Como Women,3,3,270,4,20,15,0,2,1,0,1,0,1,0,0,0,0,5.1,0.21,+1.1,14,35,79,16,31.2,25,39.1,45,1,2,11.8
Alessia Cappelletti,GK,Parma Calcio 1913,11,11,990,29,81,51,1,3,7,1,3,2,1,0,0,3,0,24.3,0.27,-4.7,32,81,364,77,26.1,83,26.8,207,10,24,15.5
Camelia Ceasar,GK,AS Roma,6,6,540,2,6,5,5,0,1,4,0,0,0,0,0,0,1,1.6,0.27,+0.6,10,22,194,27,23.3,30,21.1,38,1,10,18.5
Sara Cetinja,GK,ASD Calcio Pomigliano,11,11,990,22,62,42,3,1,7,1,1,1,0,0,1,1,2,21.3,0.33,+1.3,40,106,264,41,29.6,116,32.3,196,6,10,13.9
Francesca Durante,GK,Internazionale,11,11,990,13,55,41,5,4,2,3,2,1,1,0,0,0,0,17.9,0.29,+4.9,39,93,273,28,29.0,96,34.2,151,1,5,11.8
Laura Giuliani,GK,AC Milan,11,11,990,22,64,41,5,1,5,1,1,0,1,0,0,2,0,18.1,0.27,-3.9,51,108,296,54,32.6,77,30.3,158,14,20,13.2
Mária Korenčiová,GK,FC Como Women,8,8,720,21,46,24,1,2,5,0,5,3,1,1,1,2,0,16.2,0.27,-4.8,35,63,221,37,30.6,47,28.3,97,1,9,14.5
Isabella Kresche,GK,Sassuolo,8,8,663,12,33,21,0,2,5,0,2,1,0,1,1,2,0,9.2,0.25,-2.8,44,101,285,30,29.1,77,30.7,147,11,15,13.6
Nicole Lauria,GK,Sassuolo,2,2,180,2,11,9,1,1,0,1,0,0,0,0,0,1,0,2.5,0.23,+0.5,10,19,85,5,25.9,12,20.7,21,0,1,10.7
Emma Lind,GK,AS Roma,5,5,450,1,8,7,5,0,0,4,0,0,0,0,0,0,0,0.8,0.10,-0.2,12,24,154,12,26.1,14,25.9,29,3,7,18.7
Lia Lonni,GK,Sassuolo,2,1,147,3,8,5,0,1,0,0,0,0,0,0,0,1,0,1.8,0.23,-1.2,6,21,78,2,29.0,15,27.0,21,2,1,9.3
Pauline Peyraud Magnin,GK,Juventus,8,8,720,5,35,29,5,3,0,5,1,0,1,0,0,0,0,8.7,0.22,+3.7,34,66,282,48,26.8,45,29.7,69,7,6,13.3
Kirvil Schau Odden,GK,UC Sampdoria,2,2,180,6,19,13,0,0,2,0,0,0,0,0,0,1,0,5.3,0.28,-0.7,5,23,45,8,34.0,16,39.0,33,1,0,6.2
Katja Schroffenegger,GK,Fiorentina,9,9,810,16,51,36,5,1,3,1,0,0,0,0,0,2,1,11.5,0.23,-3.5,26,74,288,45,26.9,44,29.8,162,15,2,8.2
Amanda Tampieri,GK,UC Sampdoria,9,9,810,11,42,31,3,1,5,2,2,2,0,0,1,1,0,11.5,0.23,+0.5,33,124,160,36,35.2,86,39.1,161,13,6,11.0
