Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,Player_id,Squad_id,Sh,SoT,Dist,FK,npxG_by_Sh,G-xG,np:G-xG,Passes_Cmp,Passes_Att,Passes_TotDist,Passes_PrgDist,KP,LastThird,PPA,CrsPA,Tkl,Tackles_Def3rd,Tackles_Mid3rd,Tackles_Att3rd,Blocks,Blocks_Sh,Blocks_Pass,Int,Clr,Err,Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Touches_Live,Dribbles_Succ,Dribbles_Att,Receiving_Rec,Receiving_Prog,Subs,unSub,TS_PPM,TS_onG,TS_onGA,TS_Diff,TS_On-Off,TS(xG)_onxG,TS(xG)_onxGA,TS(xG)_xGDiff,TS(xG)_On-Off,2CrdY,Fls,Fld,Off,Crs,TklW,PKcon,OG,Recov,AerialDuels_Won,AerialDuels_Lost
Silke Demeyere,be BEL,"MF,FW",Le Havre,30-174,1992,7,3,304,1,0,0,0,2,1,0.3,0.3,0.3,88598b2e,c57b7254,3,2,17.6,0,0.11,+0.7,+0.7,0,104,958,450,3,8,3,1,9,3,4,2,5,0,5,4,2,0,135,7,37,59,44,2,135,2,2,57,11,1,0,2.50,17,6,+11,-0.52,15.7,2.5,+13.2,+1.03,1,9,4,3,14,5,0,0,30,3,4
Océane Deslandes,fr FRA,DF,Montpellier,22-138,2000,10,10,900,1,4,1,1,2,0,1.5,0.7,1.3,13d3f784,7bbdea71,4,0,27.5,1,0.17,-0.5,-0.7,0,518,8649,3597,12,23,3,3,21,12,5,4,7,4,3,21,17,1,588,35,278,248,65,3,587,4,5,354,1,6,2,1.17,0,1,-1,-1.50,0.9,1.3,-0.3,-0.65,0,11,7,0,38,14,0,0,50,6,3
Binta Diakité,ci CIV,"MF,DF",Soyaux,34-218,1988,6,0,161,0,0,0,0,0,0,0.1,0.1,0.0,3c21a271,b54d31b3,3,1,26.9,0,0.02,-0.1,-0.1,0,76,865,418,1,5,0,0,5,2,3,0,1,0,1,4,3,0,109,6,40,47,22,7,109,1,4,46,8,3,0,0.71,2,13,-11,-0.67,3.1,8.1,-5.1,+0.11,0,3,1,0,3,3,0,0,20,3,3
Mariam Diakité,ci CIV,DF,Fleury,27-244,1995,9,5,447,0,0,0,0,1,0,0.0,0.0,0.1,2aeb140f,4fcc2996,0,0,,0,,0.0,0.0,0,179,2674,1087,1,7,0,0,3,2,1,0,5,3,2,9,6,0,207,33,148,57,6,2,207,0,0,113,0,1,4,3.00,0,0,0,-0.91,0.0,0.0,0.0,+3.52,0,6,0,0,1,2,0,0,30,6,3
Kadidiatou Diani,fr FRA,FW,Paris S-G,27-254,1995,10,9,778,8,3,1,2,1,0,6.7,5.1,3.3,facfa8cb,80595417,42,16,14.4,0,0.12,+1.3,+1.9,0,285,3106,695,20,12,15,5,11,1,6,4,10,0,10,4,2,0,401,4,18,117,270,97,399,6,20,318,95,1,0,1.33,2,2,0,+3.38,2.6,3.1,-0.5,+1.61,0,6,10,4,31,9,0,0,26,5,7
Hillary Diaz,fr FRA,"MF,FW",Bordeaux,18-140,2004,7,2,312,0,0,0,0,0,0,0.0,0.0,0.1,b35400fd,69dee2b0,2,0,32.2,0,0.01,0.0,0.0,0,89,979,244,1,4,1,1,9,7,2,0,3,1,2,2,5,0,135,10,52,60,23,0,135,2,5,72,4,7,2,1.13,1,3,-2,-1.25,1.1,2.2,-1.1,-0.87,0,5,4,3,2,6,1,0,25,1,4
Maria Diaz,es ESP,MF,Dijon,27-220,1995,1,0,33,0,0,0,0,0,0,0.0,0.0,0.0,517288e9,68f9fd31,0,0,,0,,0.0,0.0,0,13,168,17,0,0,0,0,0,0,0,0,2,0,2,1,0,0,16,0,6,6,4,0,16,0,0,13,2,3,3,0.00,0,3,-3,-0.85,0.5,2.5,-2.1,-0.95,0,1,0,0,1,0,0,0,0,0,0
Daniëlle van de Donk,nl NED,"MF,FW",Lyon,31-128,1991,10,9,707,3,0,0,0,0,0,2.5,2.5,0.6,6876815f,7f2012ad,21,8,14.7,0,0.12,+0.5,+0.5,0,316,3979,1172,13,28,7,2,11,3,4,4,11,1,10,7,1,0,408,2,28,171,213,33,408,11,18,304,51,0,0,1.33,9,7,+2,-0.17,9.4,6.9,+2.5,+2.04,0,9,10,1,11,5,1,0,39,2,7
Agathe Donnary,fr FRA,"MF,FW",Soyaux,20-277,2002,9,6,529,0,1,0,0,3,0,0.1,0.1,0.5,ecaea0ec,b54d31b3,3,0,27.2,0,0.04,-0.1,-0.1,0,179,2160,838,5,11,6,2,5,0,3,2,4,1,3,9,6,1,224,7,68,122,35,2,224,2,5,129,6,4,0,1.43,7,3,+4,+1.64,3.7,4.5,-0.8,+0.38,0,12,4,1,2,3,0,0,38,4,8
Magou Doucouré,fr FRA,"DF,FW",Stade de Reims,22-051,2000,9,8,752,0,0,0,0,4,0,0.1,0.1,0.2,2a84f144,e3696882,1,0,24.8,0,0.04,-0.1,-0.1,0,329,4009,2020,3,17,1,0,23,16,7,0,10,4,6,18,22,0,431,26,203,158,81,1,431,4,15,174,7,0,0,1.60,19,14,+5,,14.1,11.6,+2.4,+0.27,0,10,11,0,11,14,1,0,48,3,0
