Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,Player_id,Squad_id,Sh,SoT,Dist,FK,npxG_by_Sh,G-xG,np:G-xG,Passes_Cmp,Passes_Att,Passes_TotDist,Passes_PrgDist,KP,LastThird,PPA,CrsPA,Tkl,Tackles_Def3rd,Tackles_Mid3rd,Tackles_Att3rd,Blocks,Blocks_Sh,Blocks_Pass,Int,Clr,Err,Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Touches_Live,Dribbles_Succ,Dribbles_Att,Receiving_Rec,Receiving_Prog,Subs,unSub,TS_PPM,TS_onG,TS_onGA,TS_Diff,TS_On-Off,TS(xG)_onxG,TS(xG)_onxGA,TS(xG)_xGDiff,TS(xG)_On-Off,2CrdY,Fls,Fld,Off,Crs,TklW,PKcon,OG,Recov,AerialDuels_Won,AerialDuels_Lost
Teresa Abilleira,es ESP,MF,Real Madrid,22-336,2000,9,7,648,3,1,0,0,0,0,1.2,1.2,1.1,46f75f0c,54582b93,15,6,24.2,2,0.08,+1.8,+1.8,384,478,7624,2570,12,64,5,1,21,4,12,5,5,0,5,4,2,0,552,8,122,332,103,3,552,7,10,366,10,2,1,2.44,26,8,+18,+1.43,12.6,7.6,+5.0,+0.32,0,15,13,0,18,15,0,0,52,4,5
Jessica Aby,ci CIV,"FW,MF",Alavés,24-178,1998,10,4,383,1,0,0,0,3,0,1.2,1.2,0.2,72c566fe,aa11fb42,4,3,11.9,0,0.29,-0.2,-0.2,66,111,1084,213,6,7,0,0,13,5,5,3,1,0,1,3,8,0,156,8,39,75,46,12,156,4,7,94,12,6,1,0.60,4,13,-9,-0.04,4.7,8.5,-3.8,+0.69,0,19,8,2,3,7,0,0,21,6,11
Charity Adule,,FW,Alhama,29-034,1993,2,1,59,0,0,0,0,0,0,0.0,0.0,0.0,67a39a11,e9fecaf2,0,0,,0,,0.0,0.0,4,11,38,8,0,0,0,0,1,0,1,0,0,0,0,0,2,0,17,4,7,7,3,0,17,0,1,5,0,1,,0.00,0,2,-2,-1.38,0.1,2.3,-2.2,-2.44,0,0,1,0,0,0,0,0,4,1,4
Júlia Aguado,,"FW,MF",Levante,22-223,2000,5,0,50,3,0,0,0,0,0,1.8,1.8,0.0,a097ef45,0f4738a8,4,4,9.3,0,0.45,+1.2,+1.2,7,11,69,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,5,13,6,18,0,3,16,5,5,5,2.60,4,0,+4,+6.05,2.6,0.1,+2.5,+3.32,0,2,0,2,0,0,0,0,2,1,0
Yolanda Aguirre,es ESP,GK,Sevilla,24-049,1998,4,4,360,0,0,0,0,0,0,0.0,0.0,0.0,150b2d3b,215d9026,0,0,,0,,0.0,0.0,75,111,2089,1461,0,0,0,0,0,0,0,0,1,0,1,0,5,0,129,116,128,1,0,0,129,0,0,35,0,0,7,0.75,7,10,-3,-1.04,5.1,7.3,-2.1,-1.31,0,0,1,0,0,0,0,1,2,1,1
Rasheedat Ajibade,ng NGA,FW,Atlético Madrid,23-003,1999,11,8,706,4,1,0,0,0,0,6.3,6.3,0.8,77448ed7,b56c2667,36,17,13.4,0,0.18,-2.3,-2.3,126,200,2087,551,8,14,8,3,8,2,4,2,6,0,6,3,0,0,307,1,18,108,186,62,307,15,23,246,57,3,,2.09,17,11,+6,+0.13,14.6,7.2,+7.3,-0.05,0,11,16,7,19,4,0,0,39,7,4
Henriette Akaba,cm CMR,DF,Levante Planas,30-187,1992,1,0,7,0,0,0,0,0,0,0.2,0.2,0.0,e938c5ba,753b93a5,2,0,10.6,0,0.08,-0.2,-0.2,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,2,3,0,0,2,0,1,6,0.00,0,0,0,+1.46,0.2,0.1,+0.1,+1.84,0,0,0,0,0,0,0,0,0,0,0
Albeta,,DF,Villarreal,21-119,2001,1,0,7,0,0,0,0,0,0,0.0,0.0,0.0,4f3341b5,7a7bef84,0,0,,0,,0.0,0.0,2,4,15,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,2,2,1,0,5,0,0,2,0,1,4,0.00,0,0,0,+1.65,0.1,0.2,-0.1,-1.09,0,0,0,0,0,0,0,0,0,0,0
Ainhoa Alguacil,,"MF,FW",Valencia,16-337,2006,6,4,296,0,1,0,0,0,0,0.0,0.0,0.5,450dbe8a,f96ff499,1,0,31.6,0,0.02,0.0,0.0,70,96,1246,374,10,6,5,2,3,2,1,0,4,0,4,1,2,0,128,5,24,61,45,3,128,3,3,80,12,2,1,0.67,3,3,0,-0.11,1.9,3.9,-2.0,-1.14,0,1,4,0,3,2,0,0,26,0,1
María Alharilla Casado,es ESP,"DF,MF",Levante,32-028,1990,3,0,100,0,0,0,0,0,0,0.0,0.0,0.0,9581d587,0f4738a8,1,0,31.4,0,0.02,0.0,0.0,49,61,744,362,0,5,0,0,7,1,3,3,2,0,2,2,3,0,79,4,15,40,24,1,79,0,2,32,5,3,1,3.00,7,1,+6,+4.39,4.3,0.8,+3.4,+1.97,0,0,1,0,1,4,0,0,9,0,0
Carmen Álvarez,,"FW,MF",Real Betis,19-290,2003,11,6,495,0,0,0,0,0,0,0.7,0.7,0.2,66c60fdc,74142337,10,1,18.2,0,0.07,-0.7,-0.7,57,91,874,216,4,6,0,0,2,0,1,1,2,0,2,0,0,0,158,1,8,82,71,22,158,3,10,115,18,5,,0.91,2,15,-13,-2.36,1.9,13.3,-11.5,-0.92,0,2,4,3,0,1,0,0,13,14,18
Ruth Álvarez,,"DF,MF",Madrid CFF,22-189,2000,6,3,245,0,1,0,0,0,0,0.1,0.1,0.4,a9d8cb9c,89818574,2,0,18.9,0,0.03,-0.1,-0.1,124,154,2162,832,4,10,6,2,7,2,5,0,5,1,4,4,3,0,181,4,37,96,49,3,181,0,0,99,10,3,5,1.67,5,5,0,-0.97,3.1,2.0,+1.1,-0.02,0,2,0,0,10,5,0,0,19,3,1
Jone Amezaga,,FW,Athletic Club,17-343,2005,6,5,384,3,0,0,0,0,0,2.6,2.6,0.1,7403b395,94929c05,13,4,14.2,0,0.20,+0.4,+0.4,47,65,576,56,2,1,0,0,8,2,2,4,4,1,3,3,1,0,140,1,10,52,83,15,140,3,15,87,20,1,,1.50,9,6,+3,+1.74,6.6,6.2,+0.4,+0.69,0,4,6,2,4,6,0,0,19,2,4
Amparito,,"DF,MF",Sevilla,25-296,1997,1,0,13,0,0,0,0,0,0,0.0,0.0,0.0,9bb5b11c,215d9026,0,0,,0,,0.0,0.0,5,7,82,32,0,1,1,0,1,0,1,0,0,0,0,0,0,0,9,0,1,6,2,1,9,0,0,8,2,1,5,3.00,0,0,0,+0.09,0.5,0.0,+0.5,+3.21,0,0,1,0,0,0,0,0,1,0,0
Nataša Andonova,mk MKD,"FW,MF",Levante,29-007,1993,10,10,830,5,2,0,0,1,0,2.8,2.8,2.1,c9ef783a,0f4738a8,22,9,16.9,2,0.13,+2.2,+2.2,237,341,3840,948,15,22,12,3,23,3,10,10,5,0,5,4,1,0,443,1,35,181,229,40,443,10,15,294,48,0,,2.00,20,13,+7,-4.30,16.1,8.0,+8.1,-2.83,0,22,14,4,32,11,0,0,41,10,5
Ivana Andrés,es ESP,DF,Real Madrid,28-151,1994,7,7,630,0,1,0,0,1,0,0.2,0.2,0.4,d0309b28,54582b93,2,0,10.1,0,0.12,-0.2,-0.2,356,399,7887,3202,2,26,0,0,4,3,0,1,8,5,3,13,19,0,457,57,252,195,11,3,457,0,1,290,0,0,3,2.71,24,4,+20,+2.52,13.1,4.8,+8.2,+1.90,0,7,6,0,0,4,0,0,50,4,3
Angy,,MF,Valencia,25-296,1997,1,0,5,0,0,0,0,0,0,0.0,0.0,0.0,fe3d54bb,f96ff499,0,0,,0,,0.0,0.0,2,2,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,0,0,2,0,1,6,3.00,0,0,0,-0.08,0.4,0.0,+0.4,+6.38,0,0,0,0,0,0,0,0,0,0,0
Antonia,br BRA,DF,Levante,28-229,1994,8,8,662,0,1,0,0,1,0,0.3,0.3,0.8,e73e06bc,0f4738a8,4,2,26.9,0,0.06,-0.3,-0.3,288,416,5930,2791,9,27,6,4,32,17,13,2,15,0,15,30,15,1,518,26,161,246,118,8,518,9,15,226,14,0,,2.13,14,9,+5,-2.34,11.8,6.0,+5.8,-1.63,0,4,8,1,20,26,0,0,45,4,6
Arola Aparicio,,"DF,MF",Sevilla,25-078,1997,10,3,345,0,0,0,0,0,0,0.0,0.0,0.3,83f1bd99,215d9026,1,0,26.4,0,0.03,0.0,0.0,112,166,1846,877,3,6,4,3,8,6,0,2,4,0,4,10,5,0,233,7,58,90,91,6,233,6,19,98,9,7,1,1.20,5,6,-1,-0.26,6.8,6.2,+0.6,-0.24,0,1,4,2,10,6,0,0,27,6,1
Paula Arana,,"FW,MF",Athletic Club,21-033,2001,9,5,489,1,0,0,0,0,0,0.7,0.7,0.1,008c802c,94929c05,13,3,20.3,0,0.05,+0.3,+0.3,104,170,1695,407,3,9,5,2,22,14,5,3,6,0,6,3,5,0,256,3,46,117,97,10,256,5,17,151,22,4,2,1.11,6,14,-8,-2.19,3.6,8.1,-4.4,-0.97,0,4,5,0,17,9,0,0,39,8,11
Karen Araya,cl CHI,"MF,DF",Madrid CFF,32-056,1990,10,3,313,0,0,0,0,1,0,0.2,0.2,0.5,c464f93a,89818574,8,3,28.6,0,0.03,-0.2,-0.2,105,169,2034,1026,5,15,1,0,13,4,7,2,3,1,2,4,4,1,212,8,59,95,62,2,212,3,3,106,11,7,2,2.20,6,7,-1,-1.46,4.6,4.9,-0.3,-0.72,0,4,2,0,14,10,0,0,43,5,4
Carla Armengol,es ESP,"FW,MF",Alavés,24-253,1998,11,8,597,1,0,0,0,0,0,0.5,0.5,0.0,25f540ad,aa11fb42,7,4,18.1,0,0.07,+0.5,+0.5,64,103,1032,294,0,3,3,2,4,2,2,0,6,0,6,3,4,0,164,3,24,74,68,12,164,2,9,109,16,3,,0.55,5,16,-11,+1.09,4.1,12.6,-8.5,+0.07,0,10,15,4,5,3,0,0,17,0,1
Iris Arnaiz Gil,es ESP,"MF,DF",Real Sociedad,28-207,1994,7,6,559,0,0,0,0,2,0,0.0,0.0,0.3,aec17e23,c21f25d3,2,1,32.5,0,0.02,0.0,0.0,309,367,5510,2183,2,29,3,0,14,4,8,2,4,2,2,12,15,0,423,34,147,254,25,1,423,2,3,265,7,1,4,1.57,12,8,+4,-0.61,10.6,7.3,+3.3,-0.40,0,2,5,0,1,6,0,0,42,13,3
Daniela Arques,,MF,Alhama,16-265,2006,11,7,660,0,0,0,0,2,0,0.4,0.4,0.1,8f83b165,e9fecaf2,8,3,22.1,0,0.05,-0.4,-0.4,87,191,1878,971,2,16,5,1,23,8,13,2,13,5,8,16,12,0,284,24,107,143,38,5,284,5,11,91,4,4,,0.27,3,19,-16,-1.11,3.4,14.4,-11.0,-1.34,0,17,7,0,4,18,0,0,70,5,9
Eunate Arraiza,es ESP,FW,Athletic Club,31-191,1991,7,2,198,0,0,0,0,0,0,0.2,0.2,0.1,7685f89a,94929c05,4,1,20.6,1,0.04,-0.2,-0.2,37,61,607,249,1,3,0,0,6,4,2,0,4,2,2,3,4,0,91,2,28,39,24,3,91,1,2,44,5,5,4,1.86,2,5,-3,-1.25,1.3,3.9,-2.6,-1.08,0,1,2,2,5,4,0,0,12,3,2
Grace Asantewaa,gh GHA,"MF,FW",Real Betis,22-006,2000,11,9,732,0,2,0,0,2,0,0.5,0.5,0.5,0a12ad6e,74142337,19,6,28.5,0,0.03,-0.5,-0.5,176,217,3375,725,5,20,2,0,11,6,2,3,7,1,6,6,7,0,313,7,52,179,84,6,313,8,15,192,28,2,,0.91,10,19,-9,+0.29,5.0,17.9,-12.9,+0.17,0,10,15,1,1,8,0,0,63,10,10
Chelsea Ashurst,,GK,Sporting Huelva,32-233,1990,4,4,360,0,0,0,0,0,0,0.0,0.0,0.0,e24c4452,27acb0af,0,0,,0,,0.0,0.0,59,117,2310,1952,0,4,0,0,1,0,1,0,0,0,0,0,3,0,129,115,128,2,0,0,129,0,0,16,0,0,6,1.00,1,7,-6,-0.79,2.2,6.8,-4.7,-0.08,0,0,1,0,0,0,0,0,5,1,0
María Asunción Quiñones,es ESP,GK,Athletic Club,26-043,1996,11,11,990,0,0,0,0,0,0,0.0,0.0,0.0,55ff64ce,94929c05,0,0,,0,,0.0,0.0,295,402,7668,5125,0,3,0,0,0,0,0,0,0,0,0,0,10,1,442,400,437,5,0,0,442,0,0,158,0,0,,1.18,16,20,-4,,11.1,14.7,-3.6,,0,0,4,0,0,0,0,0,9,1,0
Cristina Auñón,,DF,Alavés,33-263,1989,10,9,786,2,2,0,0,4,0,0.3,0.3,0.5,1c279d7d,aa11fb42,4,2,21.1,0,0.09,+1.7,+1.7,201,298,3177,1670,4,13,0,0,26,14,8,4,9,4,5,12,22,0,388,38,158,152,85,4,388,3,9,113,4,1,,0.60,9,28,-19,-0.41,6.1,17.5,-11.3,+0.10,0,11,8,0,13,16,1,0,52,2,4
Ane Azkona,es ESP,FW,Athletic Club,24-149,1998,11,10,905,2,1,0,0,2,0,1.9,1.9,1.8,2dfa2aa3,94929c05,13,6,14.1,0,0.15,+0.1,+0.1,121,199,1862,470,15,12,12,3,8,3,4,1,5,0,5,2,4,0,292,5,37,121,139,31,292,12,22,179,41,1,,1.18,15,20,-5,-1.56,10.1,12.9,-2.8,+0.48,0,15,8,12,13,4,0,0,34,6,14
Alba Aznar,,"MF,FW",Alavés,29-100,1993,2,0,44,0,0,0,0,0,0,0.0,0.0,0.1,f7f6c62c,aa11fb42,1,1,25.9,0,0.04,0.0,0.0,15,19,267,99,1,2,2,0,2,1,1,0,1,0,1,2,0,0,31,0,6,15,10,6,31,0,2,19,2,2,,0.00,1,4,-3,-4.23,2.3,1.5,+0.8,+3.00,0,0,0,0,0,1,0,0,4,0,0
Rinsola Babajide,eng ENG,"FW,MF",Real Betis,24-177,1998,11,10,841,3,1,0,0,4,0,0.7,0.7,0.6,ca9f6f0a,74142337,19,11,22.8,0,0.04,+2.3,+2.3,126,188,2052,323,10,9,2,1,16,1,14,1,5,2,3,4,6,0,323,8,31,154,142,26,323,12,30,209,51,1,,0.91,13,23,-10,+0.74,5.9,21.2,-15.3,-0.10,0,16,16,2,18,11,0,1,43,2,24
Doris Bačić,hr CRO,GK,Levante Planas,27-291,1995,10,10,900,0,0,0,0,0,0,0.0,0.0,0.0,ae754f28,753b93a5,0,0,,0,,0.0,0.0,223,332,6180,4658,0,5,0,0,1,1,0,0,0,0,0,0,4,0,372,361,371,1,0,0,372,0,0,102,0,0,,0.80,11,24,-13,+1.70,9.5,18.0,-8.5,+2.12,0,0,1,0,0,1,0,0,8,0,0
Linda Bakker,nl NED,FW,Valencia,29-301,1993,2,2,117,1,0,0,0,0,0,0.3,0.3,0.7,9a13ac27,f96ff499,2,1,17.2,0,0.15,+0.7,+0.7,13,18,228,91,1,1,0,0,1,0,1,0,1,0,1,0,0,0,27,0,1,16,10,3,27,0,0,15,2,0,7,1.50,3,0,+3,+2.49,2.5,0.6,+2.0,+1.49,0,0,1,2,0,1,0,0,3,0,1
Patrycja Balcerzak,pl POL,"MF,DF",Sporting Huelva,28-344,1994,9,7,645,1,0,0,0,2,0,0.2,0.2,0.1,8d9be8cd,27acb0af,3,2,23.1,0,0.08,+0.8,+0.8,103,181,2056,974,2,12,0,0,12,5,6,1,7,2,5,5,15,0,244,23,76,143,27,2,244,0,2,86,6,2,2,1.22,6,15,-9,-0.73,4.5,13.0,-8.5,-0.21,0,17,6,0,0,6,0,0,47,12,8
Laia Ballesté,,"DF,FW",Sporting Huelva,23-080,1999,6,5,450,1,0,0,0,0,0,0.2,0.2,0.2,4769f6f1,27acb0af,1,1,7.5,0,0.24,+0.8,+0.8,62,123,1580,991,2,7,1,0,7,6,1,0,5,2,3,4,12,0,158,22,94,61,5,1,158,0,0,49,0,1,5,0.67,5,15,-10,-1.83,3.6,13.0,-9.4,-1.42,0,5,2,0,3,5,0,0,21,2,2
Estefanía Banini,ar ARG,"MF,FW",Atlético Madrid,32-173,1990,11,7,589,1,1,0,0,0,0,1.1,1.1,1.8,109f5c4c,b56c2667,13,7,19.6,1,0.08,-0.1,-0.1,315,388,5077,1528,11,40,14,2,5,2,3,0,2,0,2,4,3,0,444,3,49,234,164,12,444,13,18,323,23,4,,2.09,12,7,+5,+0.09,13.8,4.9,+8.9,+1.02,0,1,4,1,22,5,0,0,48,1,2
Leire Baños,es ESP,MF,Levante,26-012,1996,11,11,963,0,0,0,0,2,0,0.5,0.5,0.7,3d077d16,0f4738a8,14,4,25.1,0,0.04,-0.5,-0.5,477,588,9044,2418,3,42,7,0,18,2,13,3,11,1,10,15,10,0,693,22,175,439,81,5,693,3,3,456,14,0,,2.09,29,14,+15,-1.93,23.2,9.1,+14.1,-0.61,0,12,5,0,7,9,0,0,70,12,12
Ainize Barea Núñez,es ESP,"FW,MF",Athletic Club,30-320,1992,11,7,650,2,0,0,0,0,0,1.5,1.5,0.6,08137080,94929c05,15,8,20.7,0,0.10,+0.5,+0.5,99,149,1458,178,9,4,5,3,3,0,2,1,3,0,3,3,3,0,219,4,20,80,121,19,219,2,8,147,29,4,,1.18,13,10,+3,+2.27,9.0,7.9,+1.0,+1.36,0,3,3,0,14,1,0,0,26,2,10
Beatriz Beltrán,,DF,Valencia,25-001,1997,9,8,704,0,0,0,0,0,0,0.3,0.3,0.9,46f6d3ed,f96ff499,8,4,28.7,3,0.04,-0.3,-0.3,251,436,4529,2893,13,26,0,0,20,15,3,2,12,0,12,19,13,0,525,31,220,204,111,5,525,3,13,197,10,1,,1.67,10,6,+4,+1.23,10.6,7.5,+3.1,+0.54,0,3,7,0,25,11,0,0,44,4,4
Vicky Benítez,,"DF,MF",Real Betis,22-093,2000,7,2,259,0,0,0,0,0,0,0.6,0.6,0.0,7b839abb,74142337,3,0,10.3,0,0.20,-0.6,-0.6,59,92,1233,642,2,8,4,2,11,8,3,0,5,3,2,3,3,0,124,15,65,42,17,3,124,2,3,48,2,5,3,0.86,4,8,-4,-0.28,3.1,7.0,-3.9,+0.35,0,0,2,0,3,5,0,0,14,3,4
Alejandra Bernabe,es ESP,DF,Real Sociedad,21-029,2001,10,10,807,0,1,0,0,1,0,0.3,0.3,0.8,daeee8a9,c21f25d3,5,4,16.1,0,0.07,-0.3,-0.3,419,538,6261,2258,14,18,10,3,14,5,7,2,9,1,8,14,7,0,643,13,171,269,208,20,643,17,38,353,44,0,,1.90,17,8,+9,+0.51,14.3,8.2,+6.1,-0.17,0,9,15,2,21,9,0,0,84,8,6
Claudia Blanco,,"FW,DF",UDG Tenerife,25-275,1997,9,6,505,0,0,0,0,3,0,0.1,0.1,0.1,38807c65,4c088abe,4,2,34.4,0,0.02,-0.1,-0.1,114,183,2163,1120,3,11,4,3,13,8,5,0,11,2,9,3,8,0,245,14,73,109,66,2,245,3,8,104,11,3,1,1.33,5,6,-1,+0.28,4.9,6.6,-1.7,-0.47,0,6,7,0,12,7,1,0,33,3,8
Laura Blasco,,DF,Sporting Huelva,19-357,2002,1,0,45,0,0,0,0,0,0,0.0,0.0,0.0,784375f4,27acb0af,0,0,,0,,0.0,0.0,10,15,146,66,0,2,0,0,1,0,1,0,0,0,0,0,0,0,16,1,3,10,3,0,16,0,0,11,0,1,5,0.00,0,4,-4,-7.33,0.0,3.2,-3.2,-5.51,0,0,0,0,0,0,0,0,1,0,0
Jassina Blom,be BEL,"FW,MF",UDG Tenerife,28-099,1994,9,7,522,3,0,0,0,1,0,2.0,2.0,0.1,c87ba39a,4c088abe,19,11,17.1,0,0.10,+1.0,+1.0,57,109,898,231,2,8,4,0,2,0,0,2,4,1,3,1,2,0,182,2,12,75,98,24,182,4,10,116,21,2,,1.33,6,7,-1,+0.30,5.3,5.2,0.0,+0.24,0,6,8,3,6,2,0,0,19,8,16
Jade Boho,gq EQG,FW,Alhama,36-103,1986,11,10,922,3,0,0,0,1,0,1.8,1.8,0.5,2b721e60,e9fecaf2,25,9,18.1,1,0.07,+1.2,+1.2,148,253,2370,427,7,12,6,2,7,2,4,1,8,4,4,2,5,0,351,11,21,172,159,40,351,2,5,232,51,1,,0.00,4,20,-16,+1.29,7.1,16.1,-9.0,+0.71,0,14,12,17,21,3,0,0,25,35,35
Aitana Bonmatí,es ESP,MF,Barcelona,24-327,1998,7,5,461,1,0,0,0,1,0,1.0,1.0,0.9,f3d165f5,15f49df1,11,3,16.7,0,0.09,0.0,0.0,245,295,3902,828,7,19,8,1,8,3,3,2,3,0,3,1,2,0,344,11,63,171,113,25,344,5,14,273,29,2,1,3.00,20,3,+17,-0.75,14.5,4.3,+10.1,-0.87,0,4,3,1,6,5,0,0,34,2,3
Florencia Bonsegundo,ar ARG,"MF,FW",Madrid CFF,29-150,1993,12,10,924,3,1,0,0,0,0,2.4,2.4,0.8,6965bcd4,89818574,25,10,21.3,1,0.10,+0.6,+0.6,258,431,4958,1860,16,33,8,3,29,8,19,2,15,0,15,13,9,0,582,14,129,272,185,26,582,7,18,328,27,2,,2.08,21,14,+7,-0.47,14.1,11.8,+2.3,-1.47,0,13,15,2,48,17,0,0,79,2,12
Berta Bou,,DF,Levante Planas,23-188,1999,9,9,638,0,0,0,0,5,0,0.7,0.7,0.0,a200616d,753b93a5,4,2,8.0,0,0.19,-0.7,-0.7,143,219,3008,1700,1,11,1,0,20,11,9,0,10,7,3,19,32,0,307,63,229,73,6,4,307,1,2,129,1,0,2,0.89,6,17,-11,-0.27,6.4,13.6,-7.2,+0.06,0,5,4,1,0,13,0,0,34,4,7
Lucy Bronze,eng ENG,DF,Barcelona,31-044,1991,9,7,622,2,1,0,0,0,0,0.7,0.7,1.8,5056c581,15f49df1,11,3,15.1,0,0.06,+1.3,+1.3,468,585,7236,2762,8,42,10,4,25,8,12,5,5,1,4,7,10,0,664,25,160,333,174,21,664,3,9,383,22,2,2,3.00,27,2,+25,-0.31,19.2,3.5,+15.7,-0.47,0,10,7,3,14,19,0,0,49,22,4
Nayluisa Cáceres,ve VEN,GK,UDG Tenerife,23-023,1999,5,5,450,0,0,0,0,2,0,0.0,0.0,0.0,f262e54f,4c088abe,0,0,,0,,0.0,0.0,112,189,3002,1962,0,1,0,0,0,0,0,0,0,0,0,0,7,0,199,170,198,1,0,0,199,0,0,65,0,0,5,0.80,3,7,-4,-1.00,4.0,4.4,-0.3,+0.07,0,1,0,0,0,0,0,0,6,0,0
Klára Cahynová,cz CZE,MF,Sevilla,28-356,1993,7,6,503,0,0,0,0,2,1,0.1,0.1,0.3,047111da,215d9026,1,0,11.9,0,0.09,-0.1,-0.1,138,179,2470,822,4,13,5,0,25,8,13,4,10,1,9,7,10,0,254,11,70,146,40,5,254,3,6,127,6,1,,1.14,8,5,+3,+1.28,8.8,5.6,+3.2,+0.54,1,8,9,1,1,15,0,0,39,14,7
Mariona Caldentey,es ESP,"FW,MF",Barcelona,26-267,1996,8,5,596,3,4,0,1,1,0,1.7,0.9,3.1,59da315a,15f49df1,17,7,23.2,1,0.05,+1.3,+2.1,407,504,6179,1831,20,57,16,3,6,2,1,3,2,0,2,4,3,0,580,0,53,292,242,24,579,6,15,487,50,3,1,3.00,27,2,+25,+0.06,18.8,2.7,+16.1,-0.09,0,3,15,1,16,3,0,0,46,1,2
Nagore Calderón,es ESP,MF,Sevilla,29-192,1993,11,7,643,0,1,0,0,1,0,0.4,0.4,0.4,8e0e1589,215d9026,5,1,25.6,0,0.09,-0.4,-0.4,180,236,3381,1303,4,17,2,1,18,7,8,3,8,1,7,7,2,0,283,9,86,157,45,1,283,1,4,155,7,4,,1.09,15,12,+3,+1.46,10.7,7.5,+3.2,+0.41,0,6,9,0,7,11,0,0,53,2,0
Viola Calligaris,ch SUI,DF,Levante,26-269,1996,9,7,623,0,1,0,0,2,0,0.5,0.5,1.2,bf12363c,0f4738a8,3,2,10.4,0,0.15,-0.5,-0.5,335,402,6835,2691,9,25,5,3,5,3,2,0,9,5,4,10,19,0,457,46,233,192,33,5,457,6,8,291,4,2,2,2.11,20,6,+14,+1.53,15.3,5.1,+10.3,+0.41,0,9,7,2,6,3,0,0,45,9,5
Ainoa Campo,,MF,Villarreal,26-177,1996,11,11,926,0,2,0,0,1,0,1.3,1.3,0.7,93aa95a3,7a7bef84,18,5,24.8,0,0.07,-1.3,-1.3,230,383,4048,1919,7,48,5,1,49,9,26,14,18,1,17,14,9,1,526,14,127,290,116,11,526,5,11,246,17,0,,0.91,10,24,-14,+4.26,9.7,16.3,-6.6,+0.24,0,12,13,1,8,32,0,0,83,15,14
Alba Caño,,MF,Barcelona,19-072,2003,1,0,45,0,0,0,0,0,0,0.0,0.0,0.0,607dd291,15f49df1,1,1,21.9,0,0.03,0.0,0.0,28,32,421,45,0,2,1,0,2,0,1,1,0,0,0,0,0,0,35,0,1,21,14,1,35,0,0,27,4,1,1,3.00,1,0,+1,-1.83,0.9,0.0,+0.9,-0.79,0,3,0,0,0,1,0,0,4,0,0
Judith Caravaca,,DF,Alhama,25-220,1997,11,11,963,0,0,0,0,5,0,0.1,0.1,0.0,def5954e,e9fecaf2,1,0,11.5,0,0.07,-0.1,-0.1,136,256,3105,1515,1,8,0,0,30,28,2,0,15,8,7,16,48,0,373,73,281,87,11,4,373,0,1,96,0,0,,0.27,4,21,-17,+1.49,7.1,16.4,-9.3,+1.06,0,8,1,2,0,24,0,0,62,10,2
Carmen Carbonell,,GK,Villarreal,23-136,1999,2,1,100,0,0,0,0,0,0,0.0,0.0,0.0,2f77f07e,7a7bef84,0,0,,0,,0.0,0.0,14,30,534,440,0,0,0,0,0,0,0,0,0,0,0,0,1,0,34,28,34,0,0,0,34,0,0,7,0,1,9,1.50,1,0,+1,+2.82,1.1,0.7,+0.4,+1.10,0,0,0,0,0,0,0,0,1,0,0
Estela Carbonell,es ESP,DF,Levante,18-054,2004,5,4,261,0,0,0,0,0,0,0.0,0.0,0.0,80df9863,0f4738a8,4,2,19.3,0,0.01,0.0,0.0,128,186,2121,1033,1,1,9,1,8,2,5,1,5,0,5,7,2,0,228,1,38,94,99,4,228,4,8,116,19,1,6,2.00,4,5,-1,-2.44,4.6,2.3,+2.4,-0.70,0,3,3,1,15,4,0,0,23,4,1
Marta Cardona,es ESP,"FW,MF",Atlético Madrid,27-199,1995,10,7,618,1,2,0,0,0,0,2.3,2.3,1.7,02d10cee,b56c2667,15,5,12.0,0,0.15,-1.3,-1.3,121,186,1879,584,11,19,4,2,12,4,7,1,6,0,6,9,1,0,304,1,33,133,144,43,304,14,44,188,31,3,1,2.00,10,9,+1,-1.55,12.3,6.5,+5.7,-0.31,0,6,5,6,20,6,0,0,32,1,2
Andrea Carid,,"MF,FW",Alhama,29-247,1993,12,12,1009,0,0,0,0,2,0,1.7,1.7,0.5,06ff92d6,e9fecaf2,12,2,14.3,0,0.14,-1.7,-1.7,145,261,2836,960,9,22,5,1,25,11,11,3,14,4,10,11,9,0,385,7,80,216,94,22,385,5,9,192,24,0,,0.25,5,26,-21,-1.87,7.6,19.0,-11.4,-0.45,0,26,18,2,5,16,0,0,63,6,27
Olga Carmona,es ESP,"DF,MF",Real Madrid,22-182,2000,8,5,466,0,2,0,0,3,0,0.2,0.2,0.6,830c134a,54582b93,8,2,23.9,0,0.03,-0.2,-0.2,196,270,3095,1057,3,16,4,1,8,3,4,1,3,0,3,8,1,0,324,4,59,148,120,16,324,6,16,211,23,3,1,2.38,16,5,+11,+0.05,7.8,6.0,+1.8,-0.54,0,9,11,1,19,6,0,0,39,3,5
