Squad,#Pl,MP,Starts,Min,GA,SoTA,Saves,W,D,L,CleanSheets,PKatt,PKA,PKsv,PKm,Squad_id,League_id,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,PSxG,PSxG/SoT,PSxG+/-,Launched_Cmp,Launched_Att,Passes_Att,Passes_Thr,Passes_AvgLen,GoalKicks_Att,GoalKicks_AvgLen,Crosses_Opp,Crosses_Stp,Sweeper_#OPA,Sweeper_AvgDist
E. Frankfurt,1,10,10,900,13,37,25,7,2,1,5,0,0,0,0,97b7c0e8,183,13,0,0,2,1,6.5,0.18,-5.5,20,52,209,38,25.5,77,26.9,93,4,5,11.9
Essen,1,10,10,900,25,47,22,3,1,6,3,0,0,0,0,becc1dd0,183,25,0,1,3,0,18.7,0.40,-6.3,38,148,298,45,32.5,84,44.8,135,12,11,12.8
Freiburg,1,10,10,900,17,45,28,6,1,3,2,1,1,0,0,b4de690d,183,17,1,3,2,0,13.2,0.27,-3.8,41,103,434,60,29.5,39,33.4,104,7,11,14.3
Hoffenheim,2,10,10,900,19,63,44,5,2,3,1,1,1,0,0,87705c62,183,19,1,0,3,0,18.3,0.29,-0.7,34,116,438,65,26.8,77,36.4,150,9,9,12.9
Köln,2,10,10,900,17,65,49,3,1,6,2,1,0,1,0,88ddc98e,183,17,0,0,2,2,18.0,0.27,+3.0,32,105,463,71,27.4,100,29.6,145,8,13,12.0
Leverkusen,1,10,10,900,16,42,26,4,0,6,4,1,1,0,0,c6d4860a,183,16,1,1,1,0,12.6,0.28,-3.4,25,78,303,37,28.3,60,36.2,115,5,14,16.4
MSV Duisburg,2,10,10,900,23,71,48,3,1,6,3,2,1,0,1,0580d9a9,183,23,1,1,5,0,22.1,0.30,-0.9,88,249,324,28,35.7,152,44.8,217,10,3,9.5
SV Meppen,1,10,10,900,12,51,38,4,0,6,4,3,2,0,1,4ed1418c,183,12,2,0,0,0,11.9,0.17,-0.1,29,102,398,47,28.6,109,26.3,150,19,11,11.2
Turbine Potsdam,4,10,10,899,19,55,36,0,1,8,0,1,0,1,0,de550500,183,19,0,2,3,1,24.4,0.43,+6.4,75,228,386,46,36.0,116,42.4,177,7,11,13.3
Werder Bremen,2,10,10,900,17,62,44,0,4,6,2,3,1,1,1,7adbf480,183,17,1,0,3,0,19.9,0.29,+2.9,22,86,293,64,30.2,64,32.5,117,12,16,16.4
Wolfsburg,1,10,10,900,5,23,18,10,0,0,6,1,1,0,0,a1393014,183,5,1,0,1,0,5.7,0.21,+0.7,34,62,343,38,26.2,54,24.0,78,3,13,15.6
AC Milan,1,12,12,1080,22,70,47,6,1,5,2,1,0,1,0,54da9a57,208,22,0,0,2,0,18.3,0.25,-3.7,58,122,325,59,32.7,86,30.9,170,16,23,13.7
AS Roma,2,12,12,1080,7,19,13,10,0,2,8,0,0,0,0,02f8d026,208,7,0,0,1,1,5.2,0.28,-0.8,23,48,376,44,24.5,49,21.7,76,5,18,18.6
ASD Calcio Pomigliano,1,12,12,1080,24,69,47,3,1,8,1,1,1,0,0,9f18ced7,208,24,1,1,1,2,21.9,0.30,-0.1,47,125,296,45,30.2,130,33.3,228,6,10,13.7
FC Como Women,2,12,12,1080,25,70,43,2,4,6,1,7,3,2,2,756c9acb,208,25,3,1,2,0,21.7,0.24,-3.3,51,110,337,55,30.8,82,30.7,154,3,11,13.5
Fiorentina,2,12,12,1080,16,59,43,8,1,3,4,1,0,1,0,c99ff6e5,208,16,0,0,2,1,13.9,0.22,-1.1,37,98,388,62,27.1,54,29.4,192,22,4,9.1
Internazionale,1,12,12,1080,14,57,42,6,4,2,3,2,1,1,0,06d05f19,208,14,1,0,0,0,18.3,0.29,+4.3,44,100,294,31,28.9,101,34.4,155,1,5,11.9
Juventus,2,12,12,1080,12,49,36,8,3,1,6,1,0,1,0,613577b8,208,12,0,0,1,0,13.0,0.25,+1.0,39,81,376,62,26.4,65,28.1,108,13,9,12.9
Parma Calcio 1913,1,12,12,1080,33,91,57,1,3,8,1,4,3,1,0,f7d05cb5,208,33,3,0,3,0,28.3,0.28,-4.7,37,87,382,79,26.4,97,24.8,221,11,26,15.6
Sassuolo,3,12,12,1080,18,54,36,1,4,6,1,2,1,0,1,a8e83f23,208,18,1,1,4,0,14.7,0.25,-3.3,62,143,490,37,28.0,114,27.4,208,13,18,13.0
UC Sampdoria,2,12,12,1080,18,65,47,3,1,8,2,2,2,0,0,58e367c3,208,18,2,1,3,0,18.6,0.27,+0.6,39,155,228,46,34.4,110,37.9,202,15,7,10.6
